productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
AGIL-BondElutC18-30mg-1ml,BondElutC18-30mg-1ml,Agilent,Bond Elut C18 30mg/1mL,Bond Elut C18 30mg/1mL; Series: Bond Elut C18; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-30mg-1ml,,,,,C18,,,,,,
AGIL-BondElutC18-500mg-3ml,BondElutC18-500mg-3ml,Agilent,Bond Elut C18 500mg/3mL,Bond Elut C18 500mg/3mL; Series: Bond Elut C18; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-500mg-3ml,,,,,C18,,,,,,
AGIL-BondElutC18-500mg-6ml,BondElutC18-500mg-6ml,Agilent,Bond Elut C18 500mg/6mL,Bond Elut C18 500mg/6mL; Series: Bond Elut C18; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-500mg-6ml,,,,,C18,,,,,,
AGIL-BondElutPlexa-30mg-1ml,BondElutPlexa-30mg-1ml,Agilent,Bond Elut Plexa 30mg/1mL,Bond Elut Plexa 30mg/1mL; Series: Bond Elut Plexa; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-30mg-1ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-30mg-3ml,BondElutPlexa-30mg-3ml,Agilent,Bond Elut Plexa 30mg/3mL,Bond Elut Plexa 30mg/3mL; Series: Bond Elut Plexa; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-30mg-3ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-30mg-6ml,BondElutPlexa-30mg-6ml,Agilent,Bond Elut Plexa 30mg/6mL,Bond Elut Plexa 30mg/6mL; Series: Bond Elut Plexa; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-30mg-6ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-60mg-1ml,BondElutPlexa-60mg-1ml,Agilent,Bond Elut Plexa 60mg/1mL,Bond Elut Plexa 60mg/1mL; Series: Bond Elut Plexa; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-60mg-1ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-60mg-3ml,BondElutPlexa-60mg-3ml,Agilent,Bond Elut Plexa 60mg/3mL,Bond Elut Plexa 60mg/3mL; Series: Bond Elut Plexa; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-60mg-3ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-60mg-6ml,BondElutPlexa-60mg-6ml,Agilent,Bond Elut Plexa 60mg/6mL,Bond Elut Plexa 60mg/6mL; Series: Bond Elut Plexa; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-60mg-6ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-100mg-1ml,BondElutPlexa-100mg-1ml,Agilent,Bond Elut Plexa 100mg/1mL,Bond Elut Plexa 100mg/1mL; Series: Bond Elut Plexa; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-100mg-1ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-100mg-3ml,BondElutPlexa-100mg-3ml,Agilent,Bond Elut Plexa 100mg/3mL,Bond Elut Plexa 100mg/3mL; Series: Bond Elut Plexa; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-100mg-3ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-100mg-6ml,BondElutPlexa-100mg-6ml,Agilent,Bond Elut Plexa 100mg/6mL,Bond Elut Plexa 100mg/6mL; Series: Bond Elut Plexa; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-100mg-6ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-200mg-1ml,BondElutPlexa-200mg-1ml,Agilent,Bond Elut Plexa 200mg/1mL,Bond Elut Plexa 200mg/1mL; Series: Bond Elut Plexa; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-200mg-1ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-200mg-3ml,BondElutPlexa-200mg-3ml,Agilent,Bond Elut Plexa 200mg/3mL,Bond Elut Plexa 200mg/3mL; Series: Bond Elut Plexa; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-200mg-3ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-200mg-6ml,BondElutPlexa-200mg-6ml,Agilent,Bond Elut Plexa 200mg/6mL,Bond Elut Plexa 200mg/6mL; Series: Bond Elut Plexa; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-200mg-6ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-500mg-1ml,BondElutPlexa-500mg-1ml,Agilent,Bond Elut Plexa 500mg/1mL,Bond Elut Plexa 500mg/1mL; Series: Bond Elut Plexa; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-500mg-1ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-500mg-3ml,BondElutPlexa-500mg-3ml,Agilent,Bond Elut Plexa 500mg/3mL,Bond Elut Plexa 500mg/3mL; Series: Bond Elut Plexa; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-500mg-3ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexa-500mg-6ml,BondElutPlexa-500mg-6ml,Agilent,Bond Elut Plexa 500mg/6mL,Bond Elut Plexa 500mg/6mL; Series: Bond Elut Plexa; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa.jpg,https://www.agilent.com/products/spe/bondelutplexa-500mg-6ml,,,,,Plexa,,,,,,
AGIL-BondElutPlexaPCX-30mg-1ml,BondElutPlexaPCX-30mg-1ml,Agilent,Bond Elut Plexa PCX 30mg/1mL,Bond Elut Plexa PCX 30mg/1mL; Series: Bond Elut Plexa PCX; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-30mg-1ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-30mg-3ml,BondElutPlexaPCX-30mg-3ml,Agilent,Bond Elut Plexa PCX 30mg/3mL,Bond Elut Plexa PCX 30mg/3mL; Series: Bond Elut Plexa PCX; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-30mg-3ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-30mg-6ml,BondElutPlexaPCX-30mg-6ml,Agilent,Bond Elut Plexa PCX 30mg/6mL,Bond Elut Plexa PCX 30mg/6mL; Series: Bond Elut Plexa PCX; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-30mg-6ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-60mg-1ml,BondElutPlexaPCX-60mg-1ml,Agilent,Bond Elut Plexa PCX 60mg/1mL,Bond Elut Plexa PCX 60mg/1mL; Series: Bond Elut Plexa PCX; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-60mg-1ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-60mg-3ml,BondElutPlexaPCX-60mg-3ml,Agilent,Bond Elut Plexa PCX 60mg/3mL,Bond Elut Plexa PCX 60mg/3mL; Series: Bond Elut Plexa PCX; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-60mg-3ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-60mg-6ml,BondElutPlexaPCX-60mg-6ml,Agilent,Bond Elut Plexa PCX 60mg/6mL,Bond Elut Plexa PCX 60mg/6mL; Series: Bond Elut Plexa PCX; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-60mg-6ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-100mg-1ml,BondElutPlexaPCX-100mg-1ml,Agilent,Bond Elut Plexa PCX 100mg/1mL,Bond Elut Plexa PCX 100mg/1mL; Series: Bond Elut Plexa PCX; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-100mg-1ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-100mg-3ml,BondElutPlexaPCX-100mg-3ml,Agilent,Bond Elut Plexa PCX 100mg/3mL,Bond Elut Plexa PCX 100mg/3mL; Series: Bond Elut Plexa PCX; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-100mg-3ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-100mg-6ml,BondElutPlexaPCX-100mg-6ml,Agilent,Bond Elut Plexa PCX 100mg/6mL,Bond Elut Plexa PCX 100mg/6mL; Series: Bond Elut Plexa PCX; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-100mg-6ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-200mg-1ml,BondElutPlexaPCX-200mg-1ml,Agilent,Bond Elut Plexa PCX 200mg/1mL,Bond Elut Plexa PCX 200mg/1mL; Series: Bond Elut Plexa PCX; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-200mg-1ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-200mg-3ml,BondElutPlexaPCX-200mg-3ml,Agilent,Bond Elut Plexa PCX 200mg/3mL,Bond Elut Plexa PCX 200mg/3mL; Series: Bond Elut Plexa PCX; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-200mg-3ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-200mg-6ml,BondElutPlexaPCX-200mg-6ml,Agilent,Bond Elut Plexa PCX 200mg/6mL,Bond Elut Plexa PCX 200mg/6mL; Series: Bond Elut Plexa PCX; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-200mg-6ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-500mg-1ml,BondElutPlexaPCX-500mg-1ml,Agilent,Bond Elut Plexa PCX 500mg/1mL,Bond Elut Plexa PCX 500mg/1mL; Series: Bond Elut Plexa PCX; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-500mg-1ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-500mg-3ml,BondElutPlexaPCX-500mg-3ml,Agilent,Bond Elut Plexa PCX 500mg/3mL,Bond Elut Plexa PCX 500mg/3mL; Series: Bond Elut Plexa PCX; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-500mg-3ml,,,,,PCX,,,,,,
AGIL-BondElutPlexaPCX-500mg-6ml,BondElutPlexaPCX-500mg-6ml,Agilent,Bond Elut Plexa PCX 500mg/6mL,Bond Elut Plexa PCX 500mg/6mL; Series: Bond Elut Plexa PCX; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-plexa-pcx.jpg,https://www.agilent.com/products/spe/bondelutplexapcx-500mg-6ml,,,,,PCX,,,,,,
