productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
WATE-OasisHLB-30mg-1ml,OasisHLB-30mg-1ml,Waters,Oasis HLB 30mg/1mL,Oasis HLB 30mg/1mL; Series: Oasis HLB; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-30mg-1ml,,,,,HLB,,,,,,
WATE-OasisHLB-500mg-1ml,OasisHLB-500mg-1ml,Waters,Oasis HLB 500mg/1mL,Oasis HLB 500mg/1mL; Series: Oasis HLB; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-500mg-1ml,,,,,HLB,,,,,,
WATE-OasisHLB-500mg-3ml,OasisHLB-500mg-3ml,Waters,Oasis HLB 500mg/3mL,Oasis HLB 500mg/3mL; Series: Oasis HLB; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-500mg-3ml,,,,,HLB,,,,,,
WATE-OasisHLB-500mg-6ml,OasisHLB-500mg-6ml,Waters,Oasis HLB 500mg/6mL,Oasis HLB 500mg/6mL; Series: Oasis HLB; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-500mg-6ml,,,,,HLB,,,,,,
WATE-OasisMCX-30mg-1ml,OasisMCX-30mg-1ml,Waters,Oasis MCX 30mg/1mL,Oasis MCX 30mg/1mL; Series: Oasis MCX; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-30mg-1ml,,,,,MCX,,,,,,
WATE-OasisMCX-30mg-3ml,OasisMCX-30mg-3ml,Waters,Oasis MCX 30mg/3mL,Oasis MCX 30mg/3mL; Series: Oasis MCX; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-30mg-3ml,,,,,MCX,,,,,,
WATE-OasisMCX-30mg-6ml,OasisMCX-30mg-6ml,Waters,Oasis MCX 30mg/6mL,Oasis MCX 30mg/6mL; Series: Oasis MCX; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-30mg-6ml,,,,,MCX,,,,,,
WATE-OasisMCX-60mg-1ml,OasisMCX-60mg-1ml,Waters,Oasis MCX 60mg/1mL,Oasis MCX 60mg/1mL; Series: Oasis MCX; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-60mg-1ml,,,,,MCX,,,,,,
WATE-OasisMCX-60mg-3ml,OasisMCX-60mg-3ml,Waters,Oasis MCX 60mg/3mL,Oasis MCX 60mg/3mL; Series: Oasis MCX; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-60mg-3ml,,,,,MCX,,,,,,
WATE-OasisMCX-60mg-6ml,OasisMCX-60mg-6ml,Waters,Oasis MCX 60mg/6mL,Oasis MCX 60mg/6mL; Series: Oasis MCX; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-60mg-6ml,,,,,MCX,,,,,,
WATE-OasisMCX-100mg-1ml,OasisMCX-100mg-1ml,Waters,Oasis MCX 100mg/1mL,Oasis MCX 100mg/1mL; Series: Oasis MCX; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-100mg-1ml,,,,,MCX,,,,,,
WATE-OasisMCX-100mg-3ml,OasisMCX-100mg-3ml,Waters,Oasis MCX 100mg/3mL,Oasis MCX 100mg/3mL; Series: Oasis MCX; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-100mg-3ml,,,,,MCX,,,,,,
WATE-OasisMCX-100mg-6ml,OasisMCX-100mg-6ml,Waters,Oasis MCX 100mg/6mL,Oasis MCX 100mg/6mL; Series: Oasis MCX; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-100mg-6ml,,,,,MCX,,,,,,
WATE-OasisMCX-200mg-1ml,OasisMCX-200mg-1ml,Waters,Oasis MCX 200mg/1mL,Oasis MCX 200mg/1mL; Series: Oasis MCX; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-200mg-1ml,,,,,MCX,,,,,,
WATE-OasisMCX-200mg-3ml,OasisMCX-200mg-3ml,Waters,Oasis MCX 200mg/3mL,Oasis MCX 200mg/3mL; Series: Oasis MCX; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-200mg-3ml,,,,,MCX,,,,,,
WATE-OasisMCX-200mg-6ml,OasisMCX-200mg-6ml,Waters,Oasis MCX 200mg/6mL,Oasis MCX 200mg/6mL; Series: Oasis MCX; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-200mg-6ml,,,,,MCX,,,,,,
WATE-OasisMCX-500mg-1ml,OasisMCX-500mg-1ml,Waters,Oasis MCX 500mg/1mL,Oasis MCX 500mg/1mL; Series: Oasis MCX; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-500mg-1ml,,,,,MCX,,,,,,
WATE-OasisMCX-500mg-3ml,OasisMCX-500mg-3ml,Waters,Oasis MCX 500mg/3mL,Oasis MCX 500mg/3mL; Series: Oasis MCX; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-500mg-3ml,,,,,MCX,,,,,,
WATE-OasisMCX-500mg-6ml,OasisMCX-500mg-6ml,Waters,Oasis MCX 500mg/6mL,Oasis MCX 500mg/6mL; Series: Oasis MCX; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-mcx.jpg,https://www.waters.com/products/spe/oasismcx-500mg-6ml,,,,,MCX,,,,,,
WATE-OasisMAX-30mg-1ml,OasisMAX-30mg-1ml,Waters,Oasis MAX 30mg/1mL,Oasis MAX 30mg/1mL; Series: Oasis MAX; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-30mg-1ml,,,,,MAX,,,,,,
WATE-OasisMAX-30mg-3ml,OasisMAX-30mg-3ml,Waters,Oasis MAX 30mg/3mL,Oasis MAX 30mg/3mL; Series: Oasis MAX; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-30mg-3ml,,,,,MAX,,,,,,
WATE-OasisMAX-30mg-6ml,OasisMAX-30mg-6ml,Waters,Oasis MAX 30mg/6mL,Oasis MAX 30mg/6mL; Series: Oasis MAX; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-30mg-6ml,,,,,MAX,,,,,,
WATE-OasisMAX-60mg-1ml,OasisMAX-60mg-1ml,Waters,Oasis MAX 60mg/1mL,Oasis MAX 60mg/1mL; Series: Oasis MAX; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-60mg-1ml,,,,,MAX,,,,,,
WATE-OasisMAX-60mg-3ml,OasisMAX-60mg-3ml,Waters,Oasis MAX 60mg/3mL,Oasis MAX 60mg/3mL; Series: Oasis MAX; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-60mg-3ml,,,,,MAX,,,,,,
WATE-OasisMAX-60mg-6ml,OasisMAX-60mg-6ml,Waters,Oasis MAX 60mg/6mL,Oasis MAX 60mg/6mL; Series: Oasis MAX; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-60mg-6ml,,,,,MAX,,,,,,
WATE-OasisMAX-100mg-1ml,OasisMAX-100mg-1ml,Waters,Oasis MAX 100mg/1mL,Oasis MAX 100mg/1mL; Series: Oasis MAX; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-100mg-1ml,,,,,MAX,,,,,,
WATE-OasisMAX-100mg-3ml,OasisMAX-100mg-3ml,Waters,Oasis MAX 100mg/3mL,Oasis MAX 100mg/3mL; Series: Oasis MAX; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-100mg-3ml,,,,,MAX,,,,,,
WATE-OasisMAX-100mg-6ml,OasisMAX-100mg-6ml,Waters,Oasis MAX 100mg/6mL,Oasis MAX 100mg/6mL; Series: Oasis MAX; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-100mg-6ml,,,,,MAX,,,,,,
WATE-OasisMAX-200mg-1ml,OasisMAX-200mg-1ml,Waters,Oasis MAX 200mg/1mL,Oasis MAX 200mg/1mL; Series: Oasis MAX; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-200mg-1ml,,,,,MAX,,,,,,
WATE-OasisMAX-200mg-3ml,OasisMAX-200mg-3ml,Waters,Oasis MAX 200mg/3mL,Oasis MAX 200mg/3mL; Series: Oasis MAX; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-200mg-3ml,,,,,MAX,,,,,,
WATE-OasisMAX-200mg-6ml,OasisMAX-200mg-6ml,Waters,Oasis MAX 200mg/6mL,Oasis MAX 200mg/6mL; Series: Oasis MAX; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-200mg-6ml,,,,,MAX,,,,,,
WATE-OasisMAX-500mg-1ml,OasisMAX-500mg-1ml,Waters,Oasis MAX 500mg/1mL,Oasis MAX 500mg/1mL; Series: Oasis MAX; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-500mg-1ml,,,,,MAX,,,,,,
WATE-OasisMAX-500mg-3ml,OasisMAX-500mg-3ml,Waters,Oasis MAX 500mg/3mL,Oasis MAX 500mg/3mL; Series: Oasis MAX; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-500mg-3ml,,,,,MAX,,,,,,
WATE-OasisMAX-500mg-6ml,OasisMAX-500mg-6ml,Waters,Oasis MAX 500mg/6mL,Oasis MAX 500mg/6mL; Series: Oasis MAX; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-max.jpg,https://www.waters.com/products/spe/oasismax-500mg-6ml,,,,,MAX,,,,,,
WATE-Sep-PakC18-30mg-1ml,Sep-PakC18-30mg-1ml,Waters,Sep-Pak C18 30mg/1mL,Sep-Pak C18 30mg/1mL; Series: Sep-Pak C18; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-sep-pak-c18.jpg,https://www.waters.com/products/spe/sep-pakc18-30mg-1ml,,,,,C18,,,,,,
WATE-Sep-PakC18-30mg-3ml,Sep-PakC18-30mg-3ml,Waters,Sep-Pak C18 30mg/3mL,Sep-Pak C18 30mg/3mL; Series: Sep-Pak C18; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-sep-pak-c18.jpg,https://www.waters.com/products/spe/sep-pakc18-30mg-3ml,,,,,C18,,,,,,
WATE-Sep-PakC18-30mg-6ml,Sep-PakC18-30mg-6ml,Waters,Sep-Pak C18 30mg/6mL,Sep-Pak C18 30mg/6mL; Series: Sep-Pak C18; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-sep-pak-c18.jpg,https://www.waters.com/products/spe/sep-pakc18-30mg-6ml,,,,,C18,,,,,,
WATE-Sep-PakC18-60mg-1ml,Sep-PakC18-60mg-1ml,Waters,Sep-Pak C18 60mg/1mL,Sep-Pak C18 60mg/1mL; Series: Sep-Pak C18; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-sep-pak-c18.jpg,https://www.waters.com/products/spe/sep-pakc18-60mg-1ml,,,,,C18,,,,,,
WATE-Sep-PakC18-60mg-3ml,Sep-PakC18-60mg-3ml,Waters,Sep-Pak C18 60mg/3mL,Sep-Pak C18 60mg/3mL; Series: Sep-Pak C18; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-sep-pak-c18.jpg,https://www.waters.com/products/spe/sep-pakc18-60mg-3ml,,,,,C18,,,,,,
