productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
AVAN-Filter-PTFE-0.1um-4mm,Filter-PTFE-0.1um-4mm,Avantor,PTFE Syringe Filter 0.1µm 4mm,PTFE Syringe Filter 0.1µm 4mm; Membrane: PTFE; Pore Size: 0.1µm; Diameter: 4mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.1um-4mm,,0.1,,,,,,,,,
AVAN-Filter-PTFE-0.22um-13mm,Filter-PTFE-0.22um-13mm,Avantor,PTFE Syringe Filter 0.22µm 13mm,PTFE Syringe Filter 0.22µm 13mm; Membrane: PTFE; Pore Size: 0.22µm; Diameter: 13mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.22um-13mm,,0.22,,,,,,,,,
AVAN-Filter-PTFE-0.22um-15mm,Filter-PTFE-0.22um-15mm,Avantor,PTFE Syringe Filter 0.22µm 15mm,PTFE Syringe Filter 0.22µm 15mm; Membrane: PTFE; Pore Size: 0.22µm; Diameter: 15mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.22um-15mm,,0.22,,,,,,,,,
AVAN-Filter-PTFE-0.22um-25mm,Filter-PTFE-0.22um-25mm,Avantor,PTFE Syringe Filter 0.22µm 25mm,PTFE Syringe Filter 0.22µm 25mm; Membrane: PTFE; Pore Size: 0.22µm; Diameter: 25mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.22um-25mm,,0.22,,,,,,,,,
AVAN-Filter-PTFE-0.22um-33mm,Filter-PTFE-0.22um-33mm,Avantor,PTFE Syringe Filter 0.22µm 33mm,PTFE Syringe Filter 0.22µm 33mm; Membrane: PTFE; Pore Size: 0.22µm; Diameter: 33mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.22um-33mm,,0.22,,,,,,,,,
AVAN-Filter-PTFE-0.45um-4mm,Filter-PTFE-0.45um-4mm,Avantor,PTFE Syringe Filter 0.45µm 4mm,PTFE Syringe Filter 0.45µm 4mm; Membrane: PTFE; Pore Size: 0.45µm; Diameter: 4mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.45um-4mm,,0.45,,,,,,,,,
AVAN-Filter-PTFE-0.45um-13mm,Filter-PTFE-0.45um-13mm,Avantor,PTFE Syringe Filter 0.45µm 13mm,PTFE Syringe Filter 0.45µm 13mm; Membrane: PTFE; Pore Size: 0.45µm; Diameter: 13mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.45um-13mm,,0.45,,,,,,,,,
AVAN-Filter-PTFE-0.45um-15mm,Filter-PTFE-0.45um-15mm,Avantor,PTFE Syringe Filter 0.45µm 15mm,PTFE Syringe Filter 0.45µm 15mm; Membrane: PTFE; Pore Size: 0.45µm; Diameter: 15mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.45um-15mm,,0.45,,,,,,,,,
AVAN-Filter-PTFE-0.45um-25mm,Filter-PTFE-0.45um-25mm,Avantor,PTFE Syringe Filter 0.45µm 25mm,PTFE Syringe Filter 0.45µm 25mm; Membrane: PTFE; Pore Size: 0.45µm; Diameter: 25mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.45um-25mm,,0.45,,,,,,,,,
AVAN-Filter-PTFE-0.45um-33mm,Filter-PTFE-0.45um-33mm,Avantor,PTFE Syringe Filter 0.45µm 33mm,PTFE Syringe Filter 0.45µm 33mm; Membrane: PTFE; Pore Size: 0.45µm; Diameter: 33mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-0.45um-33mm,,0.45,,,,,,,,,
AVAN-Filter-PTFE-1.0um-4mm,Filter-PTFE-1.0um-4mm,Avantor,PTFE Syringe Filter 1.0µm 4mm,PTFE Syringe Filter 1.0µm 4mm; Membrane: PTFE; Pore Size: 1.0µm; Diameter: 4mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-1.0um-4mm,,1.0,,,,,,,,,
AVAN-Filter-PTFE-1.0um-13mm,Filter-PTFE-1.0um-13mm,Avantor,PTFE Syringe Filter 1.0µm 13mm,PTFE Syringe Filter 1.0µm 13mm; Membrane: PTFE; Pore Size: 1.0µm; Diameter: 13mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-1.0um-13mm,,1.0,,,,,,,,,
AVAN-Filter-PTFE-1.0um-15mm,Filter-PTFE-1.0um-15mm,Avantor,PTFE Syringe Filter 1.0µm 15mm,PTFE Syringe Filter 1.0µm 15mm; Membrane: PTFE; Pore Size: 1.0µm; Diameter: 15mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-1.0um-15mm,,1.0,,,,,,,,,
AVAN-Filter-PTFE-1.0um-25mm,Filter-PTFE-1.0um-25mm,Avantor,PTFE Syringe Filter 1.0µm 25mm,PTFE Syringe Filter 1.0µm 25mm; Membrane: PTFE; Pore Size: 1.0µm; Diameter: 25mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-1.0um-25mm,,1.0,,,,,,,,,
AVAN-Filter-PTFE-1.0um-33mm,Filter-PTFE-1.0um-33mm,Avantor,PTFE Syringe Filter 1.0µm 33mm,PTFE Syringe Filter 1.0µm 33mm; Membrane: PTFE; Pore Size: 1.0µm; Diameter: 33mm; Syringe Filter,active,https://www.avantorsciences.com/images/products/filter-ptfe.jpg,https://www.avantorsciences.com/products/filters/filter-ptfe-1.0um-33mm,,1.0,,,,,,,,,
