productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
THER-HyperSepC18-30mg-1ml,HyperSepC18-30mg-1ml,Thermo Fisher Scientific,HyperSep C18 30mg/1mL,HyperSep C18 30mg/1mL; Series: HyperSep C18; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-30mg-1ml,,,,,C18,,,,,,
THER-HyperSepRetainPEP-30mg-1ml,HyperSepRetainPEP-30mg-1ml,Thermo Fisher Scientific,HyperSep Retain PEP 30mg/1mL,HyperSep Retain PEP 30mg/1mL; Series: HyperSep Retain PEP; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-30mg-1ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-30mg-3ml,HyperSepRetainPEP-30mg-3ml,Thermo Fisher Scientific,HyperSep Retain PEP 30mg/3mL,HyperSep Retain PEP 30mg/3mL; Series: HyperSep Retain PEP; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-30mg-3ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-30mg-6ml,HyperSepRetainPEP-30mg-6ml,Thermo Fisher Scientific,HyperSep Retain PEP 30mg/6mL,HyperSep Retain PEP 30mg/6mL; Series: HyperSep Retain PEP; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-30mg-6ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-60mg-1ml,HyperSepRetainPEP-60mg-1ml,Thermo Fisher Scientific,HyperSep Retain PEP 60mg/1mL,HyperSep Retain PEP 60mg/1mL; Series: HyperSep Retain PEP; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-60mg-1ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-60mg-3ml,HyperSepRetainPEP-60mg-3ml,Thermo Fisher Scientific,HyperSep Retain PEP 60mg/3mL,HyperSep Retain PEP 60mg/3mL; Series: HyperSep Retain PEP; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-60mg-3ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-60mg-6ml,HyperSepRetainPEP-60mg-6ml,Thermo Fisher Scientific,HyperSep Retain PEP 60mg/6mL,HyperSep Retain PEP 60mg/6mL; Series: HyperSep Retain PEP; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-60mg-6ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-100mg-1ml,HyperSepRetainPEP-100mg-1ml,Thermo Fisher Scientific,HyperSep Retain PEP 100mg/1mL,HyperSep Retain PEP 100mg/1mL; Series: HyperSep Retain PEP; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-100mg-1ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-100mg-3ml,HyperSepRetainPEP-100mg-3ml,Thermo Fisher Scientific,HyperSep Retain PEP 100mg/3mL,HyperSep Retain PEP 100mg/3mL; Series: HyperSep Retain PEP; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-100mg-3ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-100mg-6ml,HyperSepRetainPEP-100mg-6ml,Thermo Fisher Scientific,HyperSep Retain PEP 100mg/6mL,HyperSep Retain PEP 100mg/6mL; Series: HyperSep Retain PEP; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-100mg-6ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-200mg-1ml,HyperSepRetainPEP-200mg-1ml,Thermo Fisher Scientific,HyperSep Retain PEP 200mg/1mL,HyperSep Retain PEP 200mg/1mL; Series: HyperSep Retain PEP; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-200mg-1ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-200mg-3ml,HyperSepRetainPEP-200mg-3ml,Thermo Fisher Scientific,HyperSep Retain PEP 200mg/3mL,HyperSep Retain PEP 200mg/3mL; Series: HyperSep Retain PEP; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-200mg-3ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-200mg-6ml,HyperSepRetainPEP-200mg-6ml,Thermo Fisher Scientific,HyperSep Retain PEP 200mg/6mL,HyperSep Retain PEP 200mg/6mL; Series: HyperSep Retain PEP; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-200mg-6ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-500mg-1ml,HyperSepRetainPEP-500mg-1ml,Thermo Fisher Scientific,HyperSep Retain PEP 500mg/1mL,HyperSep Retain PEP 500mg/1mL; Series: HyperSep Retain PEP; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-500mg-1ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-500mg-3ml,HyperSepRetainPEP-500mg-3ml,Thermo Fisher Scientific,HyperSep Retain PEP 500mg/3mL,HyperSep Retain PEP 500mg/3mL; Series: HyperSep Retain PEP; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-500mg-3ml,,,,,PEP,,,,,,
THER-HyperSepRetainPEP-500mg-6ml,HyperSepRetainPEP-500mg-6ml,Thermo Fisher Scientific,HyperSep Retain PEP 500mg/6mL,HyperSep Retain PEP 500mg/6mL; Series: HyperSep Retain PEP; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-retain-pep.jpg,https://www.thermofisher.com/products/spe/hypersepretainpep-500mg-6ml,,,,,PEP,,,,,,
