productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
AVAN-Kromasil-C18-30x1.0-2.5um,Kromasil-C18-30x1.0-2.5um,Avantor,Kromasil C18 30x1.0mm 2.5µm,Kromasil C18 30x1.0mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x1.0-2.5um,2.5,100,30,1.0,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-100x2.1-2.5um,Kromasil-C18-100x2.1-2.5um,Avantor,Kromasil C18 100x2.1mm 2.5µm,Kromasil C18 100x2.1mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 100 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x2.1-2.5um,2.5,100,100,2.1,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-100x3.0-2.5um,Kromasil-C18-100x3.0-2.5um,Avantor,Kromasil C18 100x3.0mm 2.5µm,Kromasil C18 100x3.0mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 100 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x3.0-2.5um,2.5,100,100,3.0,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-100x4.6-2.5um,Kromasil-C18-100x4.6-2.5um,Avantor,Kromasil C18 100x4.6mm 2.5µm,Kromasil C18 100x4.6mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 100 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x4.6-2.5um,2.5,100,100,4.6,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-150x2.1-2.5um,Kromasil-C18-150x2.1-2.5um,Avantor,Kromasil C18 150x2.1mm 2.5µm,Kromasil C18 150x2.1mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 150 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-150x2.1-2.5um,2.5,100,150,2.1,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-150x3.0-2.5um,Kromasil-C18-150x3.0-2.5um,Avantor,Kromasil C18 150x3.0mm 2.5µm,Kromasil C18 150x3.0mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 150 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-150x3.0-2.5um,2.5,100,150,3.0,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-150x4.6-2.5um,Kromasil-C18-150x4.6-2.5um,Avantor,Kromasil C18 150x4.6mm 2.5µm,Kromasil C18 150x4.6mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 150 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-150x4.6-2.5um,2.5,100,150,4.6,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-250x3.0-2.5um,Kromasil-C18-250x3.0-2.5um,Avantor,Kromasil C18 250x3.0mm 2.5µm,Kromasil C18 250x3.0mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 250 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-250x3.0-2.5um,2.5,100,250,3.0,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-250x4.6-2.5um,Kromasil-C18-250x4.6-2.5um,Avantor,Kromasil C18 250x4.6mm 2.5µm,Kromasil C18 250x4.6mm 2.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 2.5 µm; Pore Size: 100Å; Dimensions: 250 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-250x4.6-2.5um,2.5,100,250,4.6,C18,2,8,2-8,L1,600 bar,80°C
AVAN-Kromasil-C18-30x1.0-3.5um,Kromasil-C18-30x1.0-3.5um,Avantor,Kromasil C18 30x1.0mm 3.5µm,Kromasil C18 30x1.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x1.0-3.5um,3.5,100,30,1.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x2.1-3.5um,Kromasil-C18-30x2.1-3.5um,Avantor,Kromasil C18 30x2.1mm 3.5µm,Kromasil C18 30x2.1mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 30 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x2.1-3.5um,3.5,100,30,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x3.0-3.5um,Kromasil-C18-30x3.0-3.5um,Avantor,Kromasil C18 30x3.0mm 3.5µm,Kromasil C18 30x3.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 30 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x3.0-3.5um,3.5,100,30,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x4.6-3.5um,Kromasil-C18-30x4.6-3.5um,Avantor,Kromasil C18 30x4.6mm 3.5µm,Kromasil C18 30x4.6mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 30 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x4.6-3.5um,3.5,100,30,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x1.0-3.5um,Kromasil-C18-50x1.0-3.5um,Avantor,Kromasil C18 50x1.0mm 3.5µm,Kromasil C18 50x1.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 50 x 1.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x1.0-3.5um,3.5,100,50,1.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x2.1-3.5um,Kromasil-C18-50x2.1-3.5um,Avantor,Kromasil C18 50x2.1mm 3.5µm,Kromasil C18 50x2.1mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 50 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x2.1-3.5um,3.5,100,50,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x3.0-3.5um,Kromasil-C18-50x3.0-3.5um,Avantor,Kromasil C18 50x3.0mm 3.5µm,Kromasil C18 50x3.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 50 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x3.0-3.5um,3.5,100,50,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x4.6-3.5um,Kromasil-C18-50x4.6-3.5um,Avantor,Kromasil C18 50x4.6mm 3.5µm,Kromasil C18 50x4.6mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 50 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x4.6-3.5um,3.5,100,50,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-75x2.1-3.5um,Kromasil-C18-75x2.1-3.5um,Avantor,Kromasil C18 75x2.1mm 3.5µm,Kromasil C18 75x2.1mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 75 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-75x2.1-3.5um,3.5,100,75,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-75x3.0-3.5um,Kromasil-C18-75x3.0-3.5um,Avantor,Kromasil C18 75x3.0mm 3.5µm,Kromasil C18 75x3.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 75 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-75x3.0-3.5um,3.5,100,75,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-75x4.6-3.5um,Kromasil-C18-75x4.6-3.5um,Avantor,Kromasil C18 75x4.6mm 3.5µm,Kromasil C18 75x4.6mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 75 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-75x4.6-3.5um,3.5,100,75,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-100x2.1-3.5um,Kromasil-C18-100x2.1-3.5um,Avantor,Kromasil C18 100x2.1mm 3.5µm,Kromasil C18 100x2.1mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 100 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x2.1-3.5um,3.5,100,100,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-100x3.0-3.5um,Kromasil-C18-100x3.0-3.5um,Avantor,Kromasil C18 100x3.0mm 3.5µm,Kromasil C18 100x3.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 100 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x3.0-3.5um,3.5,100,100,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-100x4.6-3.5um,Kromasil-C18-100x4.6-3.5um,Avantor,Kromasil C18 100x4.6mm 3.5µm,Kromasil C18 100x4.6mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 100 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x4.6-3.5um,3.5,100,100,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-150x2.1-3.5um,Kromasil-C18-150x2.1-3.5um,Avantor,Kromasil C18 150x2.1mm 3.5µm,Kromasil C18 150x2.1mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 150 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-150x2.1-3.5um,3.5,100,150,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-150x3.0-3.5um,Kromasil-C18-150x3.0-3.5um,Avantor,Kromasil C18 150x3.0mm 3.5µm,Kromasil C18 150x3.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 150 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-150x3.0-3.5um,3.5,100,150,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-150x4.6-3.5um,Kromasil-C18-150x4.6-3.5um,Avantor,Kromasil C18 150x4.6mm 3.5µm,Kromasil C18 150x4.6mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 150 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-150x4.6-3.5um,3.5,100,150,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-250x3.0-3.5um,Kromasil-C18-250x3.0-3.5um,Avantor,Kromasil C18 250x3.0mm 3.5µm,Kromasil C18 250x3.0mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 250 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-250x3.0-3.5um,3.5,100,250,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-250x4.6-3.5um,Kromasil-C18-250x4.6-3.5um,Avantor,Kromasil C18 250x4.6mm 3.5µm,Kromasil C18 250x4.6mm 3.5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 3.5 µm; Pore Size: 100Å; Dimensions: 250 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-250x4.6-3.5um,3.5,100,250,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x1.0-5um,Kromasil-C18-30x1.0-5um,Avantor,Kromasil C18 30x1.0mm 5µm,Kromasil C18 30x1.0mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x1.0-5um,5,100,30,1.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x2.1-5um,Kromasil-C18-30x2.1-5um,Avantor,Kromasil C18 30x2.1mm 5µm,Kromasil C18 30x2.1mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x2.1-5um,5,100,30,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x3.0-5um,Kromasil-C18-30x3.0-5um,Avantor,Kromasil C18 30x3.0mm 5µm,Kromasil C18 30x3.0mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x3.0-5um,5,100,30,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-30x4.6-5um,Kromasil-C18-30x4.6-5um,Avantor,Kromasil C18 30x4.6mm 5µm,Kromasil C18 30x4.6mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-30x4.6-5um,5,100,30,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x1.0-5um,Kromasil-C18-50x1.0-5um,Avantor,Kromasil C18 50x1.0mm 5µm,Kromasil C18 50x1.0mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 1.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x1.0-5um,5,100,50,1.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x2.1-5um,Kromasil-C18-50x2.1-5um,Avantor,Kromasil C18 50x2.1mm 5µm,Kromasil C18 50x2.1mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x2.1-5um,5,100,50,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x3.0-5um,Kromasil-C18-50x3.0-5um,Avantor,Kromasil C18 50x3.0mm 5µm,Kromasil C18 50x3.0mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x3.0-5um,5,100,50,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-50x4.6-5um,Kromasil-C18-50x4.6-5um,Avantor,Kromasil C18 50x4.6mm 5µm,Kromasil C18 50x4.6mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-50x4.6-5um,5,100,50,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-75x2.1-5um,Kromasil-C18-75x2.1-5um,Avantor,Kromasil C18 75x2.1mm 5µm,Kromasil C18 75x2.1mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 75 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-75x2.1-5um,5,100,75,2.1,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-75x3.0-5um,Kromasil-C18-75x3.0-5um,Avantor,Kromasil C18 75x3.0mm 5µm,Kromasil C18 75x3.0mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 75 x 3.0 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-75x3.0-5um,5,100,75,3.0,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-75x4.6-5um,Kromasil-C18-75x4.6-5um,Avantor,Kromasil C18 75x4.6mm 5µm,Kromasil C18 75x4.6mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 75 x 4.6 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-75x4.6-5um,5,100,75,4.6,C18,2,8,2-8,L1,400 bar,80°C
AVAN-Kromasil-C18-100x2.1-5um,Kromasil-C18-100x2.1-5um,Avantor,Kromasil C18 100x2.1mm 5µm,Kromasil C18 100x2.1mm 5µm; Series: Kromasil; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 100 x 2.1 mm; pH Range: 2-8,active,https://www.avantorsciences.com/images/products/kromasil-c18.jpg,https://www.avantorsciences.com/products/kromasil-c18-100x2.1-5um,5,100,100,2.1,C18,2,8,2-8,L1,400 bar,80°C
