productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
SHIM-SPEC18-30mg-1ml,SPEC18-30mg-1ml,Shimadzu,SPE C18 30mg/1mL,SPE C18 30mg/1mL; Series: SPE C18; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-c18.jpg,https://www.shimadzu.com/products/spe/spec18-30mg-1ml,,,,,C18,,,,,,
SHIM-SPEHLB-60mg-3ml,SPEHLB-60mg-3ml,Shimadzu,SPE HLB 60mg/3mL,SPE HLB 60mg/3mL; Series: SPE HLB; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-60mg-3ml,,,,,HLB,,,,,,
SHIM-SPEHLB-60mg-6ml,SPEHLB-60mg-6ml,Shimadzu,SPE HLB 60mg/6mL,SPE HLB 60mg/6mL; Series: SPE HLB; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-60mg-6ml,,,,,HLB,,,,,,
SHIM-SPEHLB-100mg-1ml,SPEHLB-100mg-1ml,Shimadzu,SPE HLB 100mg/1mL,SPE HLB 100mg/1mL; Series: SPE HLB; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-100mg-1ml,,,,,HLB,,,,,,
SHIM-SPEHLB-100mg-3ml,SPEHLB-100mg-3ml,Shimadzu,SPE HLB 100mg/3mL,SPE HLB 100mg/3mL; Series: SPE HLB; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-100mg-3ml,,,,,HLB,,,,,,
SHIM-SPEHLB-100mg-6ml,SPEHLB-100mg-6ml,Shimadzu,SPE HLB 100mg/6mL,SPE HLB 100mg/6mL; Series: SPE HLB; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-100mg-6ml,,,,,HLB,,,,,,
SHIM-SPEHLB-200mg-1ml,SPEHLB-200mg-1ml,Shimadzu,SPE HLB 200mg/1mL,SPE HLB 200mg/1mL; Series: SPE HLB; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-200mg-1ml,,,,,HLB,,,,,,
SHIM-SPEHLB-200mg-3ml,SPEHLB-200mg-3ml,Shimadzu,SPE HLB 200mg/3mL,SPE HLB 200mg/3mL; Series: SPE HLB; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-200mg-3ml,,,,,HLB,,,,,,
SHIM-SPEHLB-200mg-6ml,SPEHLB-200mg-6ml,Shimadzu,SPE HLB 200mg/6mL,SPE HLB 200mg/6mL; Series: SPE HLB; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-200mg-6ml,,,,,HLB,,,,,,
SHIM-SPEHLB-500mg-1ml,SPEHLB-500mg-1ml,Shimadzu,SPE HLB 500mg/1mL,SPE HLB 500mg/1mL; Series: SPE HLB; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-500mg-1ml,,,,,HLB,,,,,,
SHIM-SPEHLB-500mg-3ml,SPEHLB-500mg-3ml,Shimadzu,SPE HLB 500mg/3mL,SPE HLB 500mg/3mL; Series: SPE HLB; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-500mg-3ml,,,,,HLB,,,,,,
SHIM-SPEHLB-500mg-6ml,SPEHLB-500mg-6ml,Shimadzu,SPE HLB 500mg/6mL,SPE HLB 500mg/6mL; Series: SPE HLB; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.shimadzu.com/products/images/spe-spe-hlb.jpg,https://www.shimadzu.com/products/spe/spehlb-500mg-6ml,,,,,HLB,,,,,,
