productId,partNumber,brand,name,description,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,maxPressure,maxTemperature,usp,imageUrl,catalogUrl,status
PHEN-Vial-Amber-1.0ml-11mm,Vial-Amber-1.0ml-11mm,Phenomenex,Amber Glass Vial 1.0mL 11mm,"Amber Glass Vial 1.0mL 11mm; Series: Autosampler Vials; 1.0mL amber glass vial, 11mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Vial-Amber-1.5ml-9mm,Vial-Amber-1.5ml-9mm,Phenomenex,Amber Glass Vial 1.5mL 9mm,"Amber Glass Vial 1.5mL 9mm; Series: Autosampler Vials; 1.5mL amber glass vial, 9mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Vial-Amber-1.5ml-11mm,Vial-Amber-1.5ml-11mm,Phenomenex,Amber Glass Vial 1.5mL 11mm,"Amber Glass Vial 1.5mL 11mm; Series: Autosampler Vials; 1.5mL amber glass vial, 11mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Vial-Amber-2.0ml-9mm,Vial-Amber-2.0ml-9mm,Phenomenex,Amber Glass Vial 2.0mL 9mm,"Amber Glass Vial 2.0mL 9mm; Series: Autosampler Vials; 2.0mL amber glass vial, 9mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Vial-Amber-2.0ml-11mm,Vial-Amber-2.0ml-11mm,Phenomenex,Amber Glass Vial 2.0mL 11mm,"Amber Glass Vial 2.0mL 11mm; Series: Autosampler Vials; 2.0mL amber glass vial, 11mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Vial-Amber-2.0ml-13mm,Vial-Amber-2.0ml-13mm,Phenomenex,Amber Glass Vial 2.0mL 13mm,"Amber Glass Vial 2.0mL 13mm; Series: Autosampler Vials; 2.0mL amber glass vial, 13mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Vial-Amber-4.0ml-13mm,Vial-Amber-4.0ml-13mm,Phenomenex,Amber Glass Vial 4.0mL 13mm,"Amber Glass Vial 4.0mL 13mm; Series: Autosampler Vials; 4.0mL amber glass vial, 13mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Blue-PTFE-Silicone,Cap-Screw-8mm-Blue-PTFE-Silicone,Phenomenex,Screw Cap 8mm Blue PTFE-Silicone,"Screw Cap 8mm Blue PTFE-Silicone; Series: Screw Caps; 8mm screw cap, Blue, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Blue-PTFE-Red-Rubber,Cap-Screw-8mm-Blue-PTFE-Red-Rubber,Phenomenex,Screw Cap 8mm Blue PTFE-Red-Rubber,"Screw Cap 8mm Blue PTFE-Red-Rubber; Series: Screw Caps; 8mm screw cap, Blue, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Blue-Silicone-PTFE,Cap-Screw-8mm-Blue-Silicone-PTFE,Phenomenex,Screw Cap 8mm Blue Silicone-PTFE,"Screw Cap 8mm Blue Silicone-PTFE; Series: Screw Caps; 8mm screw cap, Blue, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Red-PTFE-Silicone,Cap-Screw-8mm-Red-PTFE-Silicone,Phenomenex,Screw Cap 8mm Red PTFE-Silicone,"Screw Cap 8mm Red PTFE-Silicone; Series: Screw Caps; 8mm screw cap, Red, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Red-PTFE-Red-Rubber,Cap-Screw-8mm-Red-PTFE-Red-Rubber,Phenomenex,Screw Cap 8mm Red PTFE-Red-Rubber,"Screw Cap 8mm Red PTFE-Red-Rubber; Series: Screw Caps; 8mm screw cap, Red, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Red-Silicone-PTFE,Cap-Screw-8mm-Red-Silicone-PTFE,Phenomenex,Screw Cap 8mm Red Silicone-PTFE,"Screw Cap 8mm Red Silicone-PTFE; Series: Screw Caps; 8mm screw cap, Red, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Green-PTFE-Silicone,Cap-Screw-8mm-Green-PTFE-Silicone,Phenomenex,Screw Cap 8mm Green PTFE-Silicone,"Screw Cap 8mm Green PTFE-Silicone; Series: Screw Caps; 8mm screw cap, Green, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Green-PTFE-Red-Rubber,Cap-Screw-8mm-Green-PTFE-Red-Rubber,Phenomenex,Screw Cap 8mm Green PTFE-Red-Rubber,"Screw Cap 8mm Green PTFE-Red-Rubber; Series: Screw Caps; 8mm screw cap, Green, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Green-Silicone-PTFE,Cap-Screw-8mm-Green-Silicone-PTFE,Phenomenex,Screw Cap 8mm Green Silicone-PTFE,"Screw Cap 8mm Green Silicone-PTFE; Series: Screw Caps; 8mm screw cap, Green, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Black-PTFE-Silicone,Cap-Screw-8mm-Black-PTFE-Silicone,Phenomenex,Screw Cap 8mm Black PTFE-Silicone,"Screw Cap 8mm Black PTFE-Silicone; Series: Screw Caps; 8mm screw cap, Black, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Black-PTFE-Red-Rubber,Cap-Screw-8mm-Black-PTFE-Red-Rubber,Phenomenex,Screw Cap 8mm Black PTFE-Red-Rubber,"Screw Cap 8mm Black PTFE-Red-Rubber; Series: Screw Caps; 8mm screw cap, Black, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-Black-Silicone-PTFE,Cap-Screw-8mm-Black-Silicone-PTFE,Phenomenex,Screw Cap 8mm Black Silicone-PTFE,"Screw Cap 8mm Black Silicone-PTFE; Series: Screw Caps; 8mm screw cap, Black, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-White-PTFE-Silicone,Cap-Screw-8mm-White-PTFE-Silicone,Phenomenex,Screw Cap 8mm White PTFE-Silicone,"Screw Cap 8mm White PTFE-Silicone; Series: Screw Caps; 8mm screw cap, White, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-White-PTFE-Red-Rubber,Cap-Screw-8mm-White-PTFE-Red-Rubber,Phenomenex,Screw Cap 8mm White PTFE-Red-Rubber,"Screw Cap 8mm White PTFE-Red-Rubber; Series: Screw Caps; 8mm screw cap, White, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-8mm-White-Silicone-PTFE,Cap-Screw-8mm-White-Silicone-PTFE,Phenomenex,Screw Cap 8mm White Silicone-PTFE,"Screw Cap 8mm White Silicone-PTFE; Series: Screw Caps; 8mm screw cap, White, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Blue-PTFE-Silicone,Cap-Screw-9mm-Blue-PTFE-Silicone,Phenomenex,Screw Cap 9mm Blue PTFE-Silicone,"Screw Cap 9mm Blue PTFE-Silicone; Series: Screw Caps; 9mm screw cap, Blue, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Blue-PTFE-Red-Rubber,Cap-Screw-9mm-Blue-PTFE-Red-Rubber,Phenomenex,Screw Cap 9mm Blue PTFE-Red-Rubber,"Screw Cap 9mm Blue PTFE-Red-Rubber; Series: Screw Caps; 9mm screw cap, Blue, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Blue-Silicone-PTFE,Cap-Screw-9mm-Blue-Silicone-PTFE,Phenomenex,Screw Cap 9mm Blue Silicone-PTFE,"Screw Cap 9mm Blue Silicone-PTFE; Series: Screw Caps; 9mm screw cap, Blue, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Red-PTFE-Silicone,Cap-Screw-9mm-Red-PTFE-Silicone,Phenomenex,Screw Cap 9mm Red PTFE-Silicone,"Screw Cap 9mm Red PTFE-Silicone; Series: Screw Caps; 9mm screw cap, Red, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Red-PTFE-Red-Rubber,Cap-Screw-9mm-Red-PTFE-Red-Rubber,Phenomenex,Screw Cap 9mm Red PTFE-Red-Rubber,"Screw Cap 9mm Red PTFE-Red-Rubber; Series: Screw Caps; 9mm screw cap, Red, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Red-Silicone-PTFE,Cap-Screw-9mm-Red-Silicone-PTFE,Phenomenex,Screw Cap 9mm Red Silicone-PTFE,"Screw Cap 9mm Red Silicone-PTFE; Series: Screw Caps; 9mm screw cap, Red, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Green-PTFE-Silicone,Cap-Screw-9mm-Green-PTFE-Silicone,Phenomenex,Screw Cap 9mm Green PTFE-Silicone,"Screw Cap 9mm Green PTFE-Silicone; Series: Screw Caps; 9mm screw cap, Green, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Green-PTFE-Red-Rubber,Cap-Screw-9mm-Green-PTFE-Red-Rubber,Phenomenex,Screw Cap 9mm Green PTFE-Red-Rubber,"Screw Cap 9mm Green PTFE-Red-Rubber; Series: Screw Caps; 9mm screw cap, Green, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Green-Silicone-PTFE,Cap-Screw-9mm-Green-Silicone-PTFE,Phenomenex,Screw Cap 9mm Green Silicone-PTFE,"Screw Cap 9mm Green Silicone-PTFE; Series: Screw Caps; 9mm screw cap, Green, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Black-PTFE-Silicone,Cap-Screw-9mm-Black-PTFE-Silicone,Phenomenex,Screw Cap 9mm Black PTFE-Silicone,"Screw Cap 9mm Black PTFE-Silicone; Series: Screw Caps; 9mm screw cap, Black, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Black-PTFE-Red-Rubber,Cap-Screw-9mm-Black-PTFE-Red-Rubber,Phenomenex,Screw Cap 9mm Black PTFE-Red-Rubber,"Screw Cap 9mm Black PTFE-Red-Rubber; Series: Screw Caps; 9mm screw cap, Black, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-Black-Silicone-PTFE,Cap-Screw-9mm-Black-Silicone-PTFE,Phenomenex,Screw Cap 9mm Black Silicone-PTFE,"Screw Cap 9mm Black Silicone-PTFE; Series: Screw Caps; 9mm screw cap, Black, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-White-PTFE-Silicone,Cap-Screw-9mm-White-PTFE-Silicone,Phenomenex,Screw Cap 9mm White PTFE-Silicone,"Screw Cap 9mm White PTFE-Silicone; Series: Screw Caps; 9mm screw cap, White, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-White-PTFE-Red-Rubber,Cap-Screw-9mm-White-PTFE-Red-Rubber,Phenomenex,Screw Cap 9mm White PTFE-Red-Rubber,"Screw Cap 9mm White PTFE-Red-Rubber; Series: Screw Caps; 9mm screw cap, White, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-9mm-White-Silicone-PTFE,Cap-Screw-9mm-White-Silicone-PTFE,Phenomenex,Screw Cap 9mm White Silicone-PTFE,"Screw Cap 9mm White Silicone-PTFE; Series: Screw Caps; 9mm screw cap, White, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Blue-PTFE-Silicone,Cap-Screw-11mm-Blue-PTFE-Silicone,Phenomenex,Screw Cap 11mm Blue PTFE-Silicone,"Screw Cap 11mm Blue PTFE-Silicone; Series: Screw Caps; 11mm screw cap, Blue, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Blue-PTFE-Red-Rubber,Cap-Screw-11mm-Blue-PTFE-Red-Rubber,Phenomenex,Screw Cap 11mm Blue PTFE-Red-Rubber,"Screw Cap 11mm Blue PTFE-Red-Rubber; Series: Screw Caps; 11mm screw cap, Blue, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Blue-Silicone-PTFE,Cap-Screw-11mm-Blue-Silicone-PTFE,Phenomenex,Screw Cap 11mm Blue Silicone-PTFE,"Screw Cap 11mm Blue Silicone-PTFE; Series: Screw Caps; 11mm screw cap, Blue, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Red-PTFE-Silicone,Cap-Screw-11mm-Red-PTFE-Silicone,Phenomenex,Screw Cap 11mm Red PTFE-Silicone,"Screw Cap 11mm Red PTFE-Silicone; Series: Screw Caps; 11mm screw cap, Red, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Red-PTFE-Red-Rubber,Cap-Screw-11mm-Red-PTFE-Red-Rubber,Phenomenex,Screw Cap 11mm Red PTFE-Red-Rubber,"Screw Cap 11mm Red PTFE-Red-Rubber; Series: Screw Caps; 11mm screw cap, Red, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Red-Silicone-PTFE,Cap-Screw-11mm-Red-Silicone-PTFE,Phenomenex,Screw Cap 11mm Red Silicone-PTFE,"Screw Cap 11mm Red Silicone-PTFE; Series: Screw Caps; 11mm screw cap, Red, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Green-PTFE-Silicone,Cap-Screw-11mm-Green-PTFE-Silicone,Phenomenex,Screw Cap 11mm Green PTFE-Silicone,"Screw Cap 11mm Green PTFE-Silicone; Series: Screw Caps; 11mm screw cap, Green, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Green-PTFE-Red-Rubber,Cap-Screw-11mm-Green-PTFE-Red-Rubber,Phenomenex,Screw Cap 11mm Green PTFE-Red-Rubber,"Screw Cap 11mm Green PTFE-Red-Rubber; Series: Screw Caps; 11mm screw cap, Green, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Green-Silicone-PTFE,Cap-Screw-11mm-Green-Silicone-PTFE,Phenomenex,Screw Cap 11mm Green Silicone-PTFE,"Screw Cap 11mm Green Silicone-PTFE; Series: Screw Caps; 11mm screw cap, Green, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Black-PTFE-Silicone,Cap-Screw-11mm-Black-PTFE-Silicone,Phenomenex,Screw Cap 11mm Black PTFE-Silicone,"Screw Cap 11mm Black PTFE-Silicone; Series: Screw Caps; 11mm screw cap, Black, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Black-PTFE-Red-Rubber,Cap-Screw-11mm-Black-PTFE-Red-Rubber,Phenomenex,Screw Cap 11mm Black PTFE-Red-Rubber,"Screw Cap 11mm Black PTFE-Red-Rubber; Series: Screw Caps; 11mm screw cap, Black, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-Black-Silicone-PTFE,Cap-Screw-11mm-Black-Silicone-PTFE,Phenomenex,Screw Cap 11mm Black Silicone-PTFE,"Screw Cap 11mm Black Silicone-PTFE; Series: Screw Caps; 11mm screw cap, Black, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-White-PTFE-Silicone,Cap-Screw-11mm-White-PTFE-Silicone,Phenomenex,Screw Cap 11mm White PTFE-Silicone,"Screw Cap 11mm White PTFE-Silicone; Series: Screw Caps; 11mm screw cap, White, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-White-PTFE-Red-Rubber,Cap-Screw-11mm-White-PTFE-Red-Rubber,Phenomenex,Screw Cap 11mm White PTFE-Red-Rubber,"Screw Cap 11mm White PTFE-Red-Rubber; Series: Screw Caps; 11mm screw cap, White, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-11mm-White-Silicone-PTFE,Cap-Screw-11mm-White-Silicone-PTFE,Phenomenex,Screw Cap 11mm White Silicone-PTFE,"Screw Cap 11mm White Silicone-PTFE; Series: Screw Caps; 11mm screw cap, White, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Blue-PTFE-Silicone,Cap-Screw-13mm-Blue-PTFE-Silicone,Phenomenex,Screw Cap 13mm Blue PTFE-Silicone,"Screw Cap 13mm Blue PTFE-Silicone; Series: Screw Caps; 13mm screw cap, Blue, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Blue-PTFE-Red-Rubber,Cap-Screw-13mm-Blue-PTFE-Red-Rubber,Phenomenex,Screw Cap 13mm Blue PTFE-Red-Rubber,"Screw Cap 13mm Blue PTFE-Red-Rubber; Series: Screw Caps; 13mm screw cap, Blue, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Blue-Silicone-PTFE,Cap-Screw-13mm-Blue-Silicone-PTFE,Phenomenex,Screw Cap 13mm Blue Silicone-PTFE,"Screw Cap 13mm Blue Silicone-PTFE; Series: Screw Caps; 13mm screw cap, Blue, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Red-PTFE-Silicone,Cap-Screw-13mm-Red-PTFE-Silicone,Phenomenex,Screw Cap 13mm Red PTFE-Silicone,"Screw Cap 13mm Red PTFE-Silicone; Series: Screw Caps; 13mm screw cap, Red, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Red-PTFE-Red-Rubber,Cap-Screw-13mm-Red-PTFE-Red-Rubber,Phenomenex,Screw Cap 13mm Red PTFE-Red-Rubber,"Screw Cap 13mm Red PTFE-Red-Rubber; Series: Screw Caps; 13mm screw cap, Red, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Red-Silicone-PTFE,Cap-Screw-13mm-Red-Silicone-PTFE,Phenomenex,Screw Cap 13mm Red Silicone-PTFE,"Screw Cap 13mm Red Silicone-PTFE; Series: Screw Caps; 13mm screw cap, Red, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Green-PTFE-Silicone,Cap-Screw-13mm-Green-PTFE-Silicone,Phenomenex,Screw Cap 13mm Green PTFE-Silicone,"Screw Cap 13mm Green PTFE-Silicone; Series: Screw Caps; 13mm screw cap, Green, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Green-PTFE-Red-Rubber,Cap-Screw-13mm-Green-PTFE-Red-Rubber,Phenomenex,Screw Cap 13mm Green PTFE-Red-Rubber,"Screw Cap 13mm Green PTFE-Red-Rubber; Series: Screw Caps; 13mm screw cap, Green, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Green-Silicone-PTFE,Cap-Screw-13mm-Green-Silicone-PTFE,Phenomenex,Screw Cap 13mm Green Silicone-PTFE,"Screw Cap 13mm Green Silicone-PTFE; Series: Screw Caps; 13mm screw cap, Green, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Black-PTFE-Silicone,Cap-Screw-13mm-Black-PTFE-Silicone,Phenomenex,Screw Cap 13mm Black PTFE-Silicone,"Screw Cap 13mm Black PTFE-Silicone; Series: Screw Caps; 13mm screw cap, Black, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Black-PTFE-Red-Rubber,Cap-Screw-13mm-Black-PTFE-Red-Rubber,Phenomenex,Screw Cap 13mm Black PTFE-Red-Rubber,"Screw Cap 13mm Black PTFE-Red-Rubber; Series: Screw Caps; 13mm screw cap, Black, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-Black-Silicone-PTFE,Cap-Screw-13mm-Black-Silicone-PTFE,Phenomenex,Screw Cap 13mm Black Silicone-PTFE,"Screw Cap 13mm Black Silicone-PTFE; Series: Screw Caps; 13mm screw cap, Black, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-White-PTFE-Silicone,Cap-Screw-13mm-White-PTFE-Silicone,Phenomenex,Screw Cap 13mm White PTFE-Silicone,"Screw Cap 13mm White PTFE-Silicone; Series: Screw Caps; 13mm screw cap, White, PTFE-Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-White-PTFE-Red-Rubber,Cap-Screw-13mm-White-PTFE-Red-Rubber,Phenomenex,Screw Cap 13mm White PTFE-Red-Rubber,"Screw Cap 13mm White PTFE-Red-Rubber; Series: Screw Caps; 13mm screw cap, White, PTFE-Red-Rubber septa",,,,,,,,,,,,,,active
PHEN-Cap-Screw-13mm-White-Silicone-PTFE,Cap-Screw-13mm-White-Silicone-PTFE,Phenomenex,Screw Cap 13mm White Silicone-PTFE,"Screw Cap 13mm White Silicone-PTFE; Series: Screw Caps; 13mm screw cap, White, Silicone-PTFE septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-11mm-Blue,Cap-Snap-11mm-Blue,Phenomenex,Snap Cap 11mm Blue,"Snap Cap 11mm Blue; Series: Snap Caps; 11mm snap cap, Blue, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-11mm-Red,Cap-Snap-11mm-Red,Phenomenex,Snap Cap 11mm Red,"Snap Cap 11mm Red; Series: Snap Caps; 11mm snap cap, Red, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-11mm-Green,Cap-Snap-11mm-Green,Phenomenex,Snap Cap 11mm Green,"Snap Cap 11mm Green; Series: Snap Caps; 11mm snap cap, Green, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-11mm-Black,Cap-Snap-11mm-Black,Phenomenex,Snap Cap 11mm Black,"Snap Cap 11mm Black; Series: Snap Caps; 11mm snap cap, Black, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-13mm-Blue,Cap-Snap-13mm-Blue,Phenomenex,Snap Cap 13mm Blue,"Snap Cap 13mm Blue; Series: Snap Caps; 13mm snap cap, Blue, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-13mm-Red,Cap-Snap-13mm-Red,Phenomenex,Snap Cap 13mm Red,"Snap Cap 13mm Red; Series: Snap Caps; 13mm snap cap, Red, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-13mm-Green,Cap-Snap-13mm-Green,Phenomenex,Snap Cap 13mm Green,"Snap Cap 13mm Green; Series: Snap Caps; 13mm snap cap, Green, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Snap-13mm-Black,Cap-Snap-13mm-Black,Phenomenex,Snap Cap 13mm Black,"Snap Cap 13mm Black; Series: Snap Caps; 13mm snap cap, Black, pre-slit PTFE/Silicone septa",,,,,,,,,,,,,,active
PHEN-Cap-Crimp-11mm-Silver,Cap-Crimp-11mm-Silver,Phenomenex,Crimp Cap 11mm Silver,"Crimp Cap 11mm Silver; Series: Crimp Caps; 11mm crimp cap, Silver aluminum",,,,,,,,,,,,,,active
PHEN-Cap-Crimp-11mm-Gold,Cap-Crimp-11mm-Gold,Phenomenex,Crimp Cap 11mm Gold,"Crimp Cap 11mm Gold; Series: Crimp Caps; 11mm crimp cap, Gold aluminum",,,,,,,,,,,,,,active
PHEN-Cap-Crimp-11mm-Blue,Cap-Crimp-11mm-Blue,Phenomenex,Crimp Cap 11mm Blue,"Crimp Cap 11mm Blue; Series: Crimp Caps; 11mm crimp cap, Blue aluminum",,,,,,,,,,,,,,active
PHEN-Cap-Crimp-11mm-Red,Cap-Crimp-11mm-Red,Phenomenex,Crimp Cap 11mm Red,"Crimp Cap 11mm Red; Series: Crimp Caps; 11mm crimp cap, Red aluminum",,,,,,,,,,,,,,active
PHEN-Cap-Crimp-13mm-Silver,Cap-Crimp-13mm-Silver,Phenomenex,Crimp Cap 13mm Silver,"Crimp Cap 13mm Silver; Series: Crimp Caps; 13mm crimp cap, Silver aluminum",,,,,,,,,,,,,,active
