productId,partNumber,name,brand,productType,particleSize,poreSize,columnLength,innerDiameter,phaseType,phRange,status
AGIL-695768-901T,695768-901T,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,100.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-693768-901,693768-901,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-693768-901K,693768-901K,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,150.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-693768-901T,693768-901T,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,150.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-699768-901,699768-901,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-699768-901K,699768-901K,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,50.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-699768-901T,699768-901T,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm, narrow bore LC column, with column ID",Agilent,HPLC Column,2.7,120.0,50.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-699968-301T,699968-301T,"InfinityLab Poroshell 120 Bonus-RP 3, 50 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,50.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-823750-925,823750-925,"InfinityLab Poroshell 120 Bonus-RP 3.0 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-695968-301,695968-301,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-695968-301K,695968-301K,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,100.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-695968-301T,695968-301T,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,100.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-693968-301,693968-301,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-693968-301K,693968-301K,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,150.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-693968-301T,693968-301T,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,150.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-699968-301,699968-301,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-699968-301K,699968-301K,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 50 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,50.0,3.0,Bonus-RP,1.5-10.0,active
AGIL-820750-925,820750-925,"InfinityLab Poroshell 120 Bonus-RP 4.6 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-695968-901,695968-901,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-695968-901K,695968-901K,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,100.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-695968-901T,695968-901T,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,100.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-693968-901,693968-901,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-693968-901K,693968-901K,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,150.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-693968-901T,693968-901T,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,150.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-699968-901,699968-901,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-699968-901K,699968-901K,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,50.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-699968-901T,699968-901T,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7,120.0,50.0,4.6,Bonus-RP,1.5-10.0,active
AGIL-821725-953,821725-953,"InfinityLab Poroshell 120 CS-C18, 2.1 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,2.1,CS-C18,1.5-10.0,active
AGIL-695775-942,695775-942,"InfinityLab Poroshell 120 CS-C18, 2.1 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,2.1,CS-C18,1.5-10.0,active
AGIL-693775-942,693775-942,"InfinityLab Poroshell 120 CS-C18, 2.1 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,2.1,CS-C18,1.5-10.0,active
AGIL-699775-942,699775-942,"InfinityLab Poroshell 120 CS-C18, 2.1 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,2.1,CS-C18,1.5-10.0,active
AGIL-823750-949,823750-949,"InfinityLab Poroshell 120 CS-C18, 3.0 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,3.0,CS-C18,1.5-10.0,active
AGIL-695975-342,695975-342,"InfinityLab Poroshell 120 CS-C18, 3.0 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,3.0,CS-C18,1.5-10.0,active
THER-17126-102130,17126-102130,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,100.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-032130,17126-032130,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,30.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-052130,17126-052130,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,50.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-053030,17126-053030,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,50.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-054630,17126-054630,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,50.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-103030,17126-103030,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,100.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-104630,17126-104630,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,100.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-152130,17126-152130,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,150.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-153030,17126-153030,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,150.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-17126-154630,17126-154630,Accucore™ C18 HPLC Columns,Thermo Fisher Scientific,HPLC Column,2.6,80.0,150.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-154630,25003-154630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-032130,25003-032130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,30.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-034630,25003-034630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,30.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-052130,25003-052130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-053030,25003-053030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-054630,25003-054630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-101030,25003-101030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,1.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-102130,25003-102130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-103030,25003-103030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-104030,25003-104030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,4.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-104630,25003-104630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-152130,25003-152130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-153030,25003-153030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-154030,25003-154030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,4.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-014001,25003-014001,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,4.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-012135,25002-012135,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-022130,25002-022130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,20.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-031030,25002-031030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,30.0,1.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-032130,25002-032130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,30.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-051030,25002-051030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,1.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-052130,25002-052130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-053030,25002-053030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-054630,25002-054630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-101030,25002-101030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,1.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-102130,25002-102130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-103030,25002-103030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-152130,25002-152130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-202130,25002-202130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,200.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-011001,25003-011001,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,1.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-012101,25003-012101,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25003-013001,25003-013001,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-011001,25005-011001,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,1.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-012101,25005-012101,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-013001,25005-013001,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-014001,25005-014001,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,10.0,4.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-029223,25005-029223,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,20.0,21.2,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-052130,25005-052130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-053030,25005-053030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-054630,25005-054630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,50.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-102130,25005-102130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-104630,25005-104630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-152130,25005-152130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-153030,25005-153030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-154030,25005-154030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,4.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-154630,25005-154630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,150.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-253030,25005-253030,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,250.0,3.0,"Reversed Phase
Endcapped",1 to 11,active
THER-25005-254630,25005-254630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,250.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
THER-25012-029223,25012-029223,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,20.0,21.2,"Reversed Phase
Endcapped",1 to 11,active
THER-25012-022130,25012-022130,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,20.0,2.1,"Reversed Phase
Endcapped",1 to 11,active
THER-25002-104630,25002-104630,Hypersil GOLD™ C18 Selectivity HPLC Columns,Thermo Fisher Scientific,HPLC Column,3.0,175.0,100.0,4.6,"Reversed Phase
Endcapped",1 to 11,active
REST-9314262,9314262,"Raptor ARC-18, 1.8 µm, 150 x 2.1 mm HPLC Column",Restek,HPLC Column,1.8,,150.0,2.1,ARC-18,,active
REST-9314A12-T,9314A12-T,"Raptor Inert ARC-18, 2.7 µm, 100 x 2.1 mm HPLC Column",Restek,HPLC Column,2.7,,100.0,2.1,ARC-18,,active
REST-9309A5E,9309A5E,"Raptor Biphenyl, 2.7 µm, 50 x 3.0 mm HPLC Column",Restek,HPLC Column,2.7,,50.0,3.0,Biphenyl,,active
REST-9634312,9634312,"Force C18, 3 µm, 100 x 2.1 mm LC Column",Restek,HPLC Column,3.0,,100.0,2.1,C18,,active
REST-9311A32,9311A32,"Raptor Polar X, 2.7 µm, 30 x 2.1 mm LC Column",Restek,HPLC Column,2.7,,30.0,2.1,Polar,,active
REST-9319A1E,9319A1E,"Raptor FluoroPhenyl, 2.7 µm, 100 x 3.0 mm HPLC Column",Restek,HPLC Column,2.7,,100.0,3.0,FluoroPhenyl,,active
REST-9629332,9629332,"Force Biphenyl, 3 µm, 30 x 2.1 mm LC Column",Restek,HPLC Column,3.0,,30.0,2.1,Biphenyl,,active
REST-9178312,9178312,"Ultra Aqueous C18, 3 µm, 100 x 2.1 mm HPLC Column",Restek,HPLC Column,3.0,,100.0,2.1,Aqueous,,active
REST-9175312-T,9175312-T,"Ultra Inert IBD, 3 µm, 100 x 2.1 mm HPLC Column",Restek,HPLC Column,3.0,,100.0,2.1,IBD,,active
REST-9629352,9629352,"Force Biphenyl, 3 µm, 50 x 2.1 mm LC Column",Restek,HPLC Column,3.0,,50.0,2.1,Biphenyl,,active
REST-9309A52,9309A52,"Raptor Biphenyl, 2.7 µm, 50 x 2.1 mm HPLC Column",Restek,HPLC Column,2.7,,50.0,2.1,Biphenyl,,active
REST-9160572,9160572,"Allure Silica, 5 µm, 60 A, 250 x 2.1 mm HPLC Column",Restek,HPLC Column,5.0,60.0,250.0,2.1,Silica,,active
REST-9314A65,9314A65,"Raptor ARC-18, 2.7 µm, 150 x 4.6 mm HPLC Column",Restek,HPLC Column,2.7,,150.0,4.6,ARC-18,,active
REST-9325A12,9325A12,"Raptor EtG/EtS, 2.7 µm, 100 x 2.1 mm LC Column",Restek,HPLC Column,2.7,,100.0,2.1,EtG,,active
REST-27854,27854,"PFAS Delay Column, 5 µm, 50 x 2.1 mm HPLC Column",Restek,HPLC Column,5.0,,50.0,2.1,,,active
REST-9309A12,9309A12,"Raptor Biphenyl, 2.7 µm, 100 x 2.1 mm HPLC Column",Restek,HPLC Column,2.7,,100.0,2.1,Biphenyl,,active
REST-9309A12-T,9309A12-T,"Raptor Inert Biphenyl, 2.7 µm, 100 x 2.1 mm HPLC Column",Restek,HPLC Column,2.7,,100.0,2.1,Biphenyl,,active
REST-962931E,962931E,"Force Biphenyl, 3 µm, 100 x 3.0 mm LC Column",Restek,HPLC Column,3.0,,100.0,3.0,Biphenyl,,active
REST-9319A12,9319A12,"Raptor FluoroPhenyl, 2.7 µm, 100 x 2.1 mm HPLC Column",Restek,HPLC Column,2.7,,100.0,2.1,FluoroPhenyl,,active
