productId,partNumber,brand,name,description,specifications,descriptionQuality,detailedDescription
AGIL-0100-2637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve",,{},none,
AGIL-121-1012E,121-1012E,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1012E DB-1 Part Number:121-1012E J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""5 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-121-1012LTM,121-1012LTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1012LTM DB-1 Columns Part Number:121-1012LTM J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-121-1013,121-1013,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.4 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1013 DB-1 Part Number:121-1013 J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.4 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-121-1013LTM,121-1013LTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.4 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1013LTM DB-1 Columns Part Number:121-1013LTM J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.4 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-121-101A,121-101A,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.2 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-101A High Efficiency Columns Part Number:121-101A J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.2 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-121-101ALTM,121-101ALTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.2 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-101ALTM Low Thermal Mass LTM II Columns Part Number:121-101ALTM J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.2 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-12102001,12102001,Agilent,Agilent SPE Cartridges 12102001,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102001 Bond Elut C18 Part Number:12102001 Bond Elut C18 cartridge, 100 mg, 1 mL, 40 μm, 100/pk.","{""Bed Mass"": ""100 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C18"", ""Primary Extraction Mechanism"": ""Nonpolar"", ""SPE Category"": ""Non-polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Mass (mg)"": ""100"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Aqueous SamplesBiological Fluids"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""1 mL""}",high,
AGIL-12102004,12102004,Agilent,Agilent SPE Cartridges 12102004,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102004 SPE Cartridges Part Number:12102004 Bond Elut C1 cartridge, 100 mg, 1 mL, 100/pk.","{""Bed Mass"": ""100 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Very Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C1"", ""Primary Extraction Mechanism"": ""NonpolarPolar (as normal phase extraction)"", ""SPE Category"": ""Non-polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Mass (mg)"": ""100"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Biological FluidsPlasmaUrine"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""1 mL""}",high,
AGIL-12102017TB,12102017TB,Agilent,Bond Elut SAX 1ML 100MG,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102017TB SPE Cartridges Part Number:12102017TB Bond Elut SAX cartridge, tabless, 100 mg, 1 mL, 40 µm, 500/pk.","{""Bed Mass"": ""100 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Weak Acidic Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""SAX"", ""Primary Extraction Mechanism"": ""Strong Anion Exchange"", ""SPE Category"": ""Anion Exchange"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Ion Exchange (IEX)"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""Yes"", ""Typical Matrices"": ""Aqueous SamplesBiological FluidsBuffered Organics"", ""UNSPSC Code"": ""41122102"", ""Volume"": ""1 mL""}",high,
AGIL-12102022,12102022,Agilent,Agilent SPE Cartridges 12102022,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102022 SPE Cartridges Part Number:12102022 Bond Elut Alumina B cartridge, 100 mg, 1 mL, 100/pk.","{""Bed Mass"": ""100 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Polar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""25 µm"", ""Phase"": ""Alumina B"", ""Primary Extraction Mechanism"": ""Polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Normal Phase"", ""Sorbent Material"": ""Inorganic"", ""Tabless"": ""No"", ""Typical Matrices"": ""Nonpolar Organics"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""1 mL""}",high,
AGIL-12102023,12102023,Agilent,Agilent SPE Cartridges 12102023,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102023 Bond Elut Alumina Part Number:12102023 Bond Elut Alumina N cartridge, 100 mg, 1 mL, 100/pk.","{""Bed Mass"": ""100 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Polar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""25 µm"", ""Phase"": ""Alumina N"", ""Primary Extraction Mechanism"": ""Polar"", ""SPE Category"": ""Polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Normal Phase"", ""Sorbent Mass (mg)"": ""100"", ""Sorbent Material"": ""Inorganic"", ""Tabless"": ""No"", ""Typical Matrices"": ""Nonpolar Organics"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""1 mL""}",high,
AGIL-12102025,12102025,Agilent,Agilent SPE Cartridges 12102025,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102025 Bond Elut C18 Part Number:12102025 Bond Elut C18 cartridge, 200 mg, 3 mL, 40 μm, 50/pk.","{""Bed Mass"": ""200 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""3 mL"", ""Compound Types"": ""Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C18"", ""Primary Extraction Mechanism"": ""Nonpolar"", ""SPE Category"": ""Non-polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Mass (mg)"": ""200"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Aqueous SamplesBiological Fluids"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""3 mL""}",high,
AGIL-12102028,12102028,Agilent,Agilent SPE Cartridges 12102028,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102028 SPE Cartridges Part Number:12102028 Bond Elut C18 cartridge, 500 mg, 3 mL, 40 µm, 50/pk.","{""Bed Mass"": ""500 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""3 mL"", ""Compound Types"": ""Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C18"", ""Primary Extraction Mechanism"": ""Nonpolar"", ""SPE Category"": ""Non-polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Mass (mg)"": ""500"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Aqueous SamplesBiological Fluids"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""3 mL""}",high,
AGIL-12102031,12102031,Agilent,Agilent SPE Cartridges 12102031,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102031 SPE Cartridges Part Number:12102031 Bond Elut C1 cartridge, 500 mg, 3 mL, 50/pk.","{""Bed Mass"": ""500 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""3 mL"", ""Compound Types"": ""Very Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C1"", ""Primary Extraction Mechanism"": ""NonpolarPolar (as normal phase extraction)"", ""SPE Category"": ""Non-polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Mass (mg)"": ""500"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Biological FluidsPlasmaUrine"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""3 mL""}",high,
AGIL-12102047,12102047,Agilent,Agilent SPE Cartridges 12102047,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102047 SPE Cartridges Part Number:12102047 Bond Elut Alumina A cartridge, 500 mg, 3 mL, 50/pk.","{""Bed Mass"": ""500 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""3 mL"", ""Compound Types"": ""Polar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""25 µm"", ""Phase"": ""Alumina A"", ""Primary Extraction Mechanism"": ""Polar"", ""SPE Category"": ""Polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Normal Phase"", ""Sorbent Mass (mg)"": ""500"", ""Sorbent Material"": ""Inorganic"", ""Tabless"": ""No"", ""Typical Matrices"": ""Nonpolar Organics"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""3 mL""}",high,
AGIL-12102048,12102048,Agilent,Agilent SPE Cartridges 12102048,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102048 SPE Cartridges Part Number:12102048 Bond Elut Alumina B cartridge, 500 mg, 3 mL, 50/pk.","{""Bed Mass"": ""500 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""3 mL"", ""Compound Types"": ""Polar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""25 µm"", ""Phase"": ""Alumina B"", ""Primary Extraction Mechanism"": ""Polar"", ""SPE Category"": ""Polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Normal Phase"", ""Sorbent Mass (mg)"": ""500"", ""Sorbent Material"": ""Inorganic"", ""Tabless"": ""No"", ""Typical Matrices"": ""Nonpolar Organics"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""3 mL""}",high,
AGIL-12102049,12102049,Agilent,Agilent SPE Cartridges 12102049,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102049 SPE Cartridges Part Number:12102049 Bond Elut Alumina N cartridge, 500 mg, 3 mL, 50/pk.","{""Bed Mass"": ""500 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""3 mL"", ""Compound Types"": ""Polar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""25 µm"", ""Phase"": ""Alumina N"", ""Primary Extraction Mechanism"": ""Polar"", ""SPE Category"": ""Polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Normal Phase"", ""Sorbent Mass (mg)"": ""500"", ""Sorbent Material"": ""Inorganic"", ""Tabless"": ""No"", ""Typical Matrices"": ""Nonpolar Organics"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""3 mL""}",high,
AGIL-12102058,12102058,Agilent,Agilent SPE Cartridges 12102058,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102058 SPE Cartridges Part Number:12102058 Bond Elut C18 cartridge, 50 mg, 1 mL, 40 μm, 100/pk.","{""Bed Mass"": ""50 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C18"", ""Primary Extraction Mechanism"": ""Nonpolar"", ""SPE Category"": ""Non-polar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Mass (mg)"": ""50"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Aqueous SamplesBiological Fluids"", ""UNSPSC Code"": ""41115712"", ""Volume"": ""1 mL""}",high,
AGIL-12102058B,12102058B,Agilent,Agilent SPE Cartridges 12102058B,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 12102058B SPE Cartridges Part Number:12102058B Bond Elut C18 cartridge, 50 mg, 1 mL, 40 µm, 500/pk.","{""Bed Mass"": ""50 mg"", ""Brand"": ""Bond Elut"", ""Cartridge Material"": ""Polypropylene"", ""Cartridge Size"": ""1 mL"", ""Compound Types"": ""Nonpolar Compounds"", ""Frit Material"": ""Polyethylene"", ""Frit Pore Size"": ""20 µm"", ""Particle Size"": ""40 µm"", ""Phase"": ""C18"", ""Primary Extraction Mechanism"": ""Nonpolar"", ""SPE Format"": ""Straight Barrel Cartridge"", ""Separation Mode"": ""Reversed Phase"", ""Sorbent Material"": ""Silica"", ""Tabless"": ""No"", ""Typical Matrices"": ""Aqueous SamplesBiological Fluids"", ""UNSPSC Code"": ""41122102"", ""Volume"": ""1 mL""}",high,
