brand,productId,partNumber,name,series,phaseType,particleSize,columnLength,innerDiameter,poreSize,productType,application,status,price,sorbentMass,cartridgeVolume,membraneType,diameter,material,volume,consumableType,mode,filmThickness,polarity,separationType
Develosil,DEVL-00025,DEV-ODS-HG-15-30-50x2.0,"Develosil ODS-HG, 15/30 µm, 2.0 x 50 mm",Develosil ODS-HG,C18,15.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00026,DEV-ODS-HG-15-30-50x4.6,"Develosil ODS-HG, 15/30 µm, 4.6 x 50 mm",Develosil ODS-HG,C18,15.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00027,DEV-ODS-HG-15-30-100x2.0,"Develosil ODS-HG, 15/30 µm, 2.0 x 100 mm",Develosil ODS-HG,C18,15.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00028,DEV-ODS-HG-15-30-100x4.6,"Develosil ODS-HG, 15/30 µm, 4.6 x 100 mm",Develosil ODS-HG,C18,15.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00029,DEV-ODS-MG-3-50x2.0,"Develosil ODS-MG, 3 µm, 2.0 x 50 mm",Develosil ODS-MG,C18,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00030,DEV-ODS-MG-3-50x4.6,"Develosil ODS-MG, 3 µm, 4.6 x 50 mm",Develosil ODS-MG,C18,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00031,DEV-ODS-MG-3-100x2.0,"Develosil ODS-MG, 3 µm, 2.0 x 100 mm",Develosil ODS-MG,C18,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00032,DEV-ODS-MG-3-100x4.6,"Develosil ODS-MG, 3 µm, 4.6 x 100 mm",Develosil ODS-MG,C18,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00033,DEV-ODS-MG-5-50x2.0,"Develosil ODS-MG, 5 µm, 2.0 x 50 mm",Develosil ODS-MG,C18,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00034,DEV-ODS-MG-5-50x4.6,"Develosil ODS-MG, 5 µm, 4.6 x 50 mm",Develosil ODS-MG,C18,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00035,DEV-ODS-MG-5-100x2.0,"Develosil ODS-MG, 5 µm, 2.0 x 100 mm",Develosil ODS-MG,C18,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00036,DEV-ODS-MG-5-100x4.6,"Develosil ODS-MG, 5 µm, 4.6 x 100 mm",Develosil ODS-MG,C18,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00037,DEV-ODS-MG-15-30-50x2.0,"Develosil ODS-MG, 15/30 µm, 2.0 x 50 mm",Develosil ODS-MG,C18,15.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00038,DEV-ODS-MG-15-30-50x4.6,"Develosil ODS-MG, 15/30 µm, 4.6 x 50 mm",Develosil ODS-MG,C18,15.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00039,DEV-ODS-MG-15-30-100x2.0,"Develosil ODS-MG, 15/30 µm, 2.0 x 100 mm",Develosil ODS-MG,C18,15.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00040,DEV-ODS-MG-15-30-100x4.6,"Develosil ODS-MG, 15/30 µm, 4.6 x 100 mm",Develosil ODS-MG,C18,15.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00041,DEV-ODS-SR-3-50x2.0,"Develosil ODS-SR, 3 µm, 2.0 x 50 mm",Develosil ODS-SR,C18,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00042,DEV-ODS-SR-3-50x4.6,"Develosil ODS-SR, 3 µm, 4.6 x 50 mm",Develosil ODS-SR,C18,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00043,DEV-ODS-SR-3-100x2.0,"Develosil ODS-SR, 3 µm, 2.0 x 100 mm",Develosil ODS-SR,C18,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00044,DEV-ODS-SR-3-100x4.6,"Develosil ODS-SR, 3 µm, 4.6 x 100 mm",Develosil ODS-SR,C18,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00045,DEV-ODS-SR-5-50x2.0,"Develosil ODS-SR, 5 µm, 2.0 x 50 mm",Develosil ODS-SR,C18,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00046,DEV-ODS-SR-5-50x4.6,"Develosil ODS-SR, 5 µm, 4.6 x 50 mm",Develosil ODS-SR,C18,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00047,DEV-ODS-SR-5-100x2.0,"Develosil ODS-SR, 5 µm, 2.0 x 100 mm",Develosil ODS-SR,C18,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00048,DEV-ODS-SR-5-100x4.6,"Develosil ODS-SR, 5 µm, 4.6 x 100 mm",Develosil ODS-SR,C18,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00049,DEV-ODS-SR-15-30-50x2.0,"Develosil ODS-SR, 15/30 µm, 2.0 x 50 mm",Develosil ODS-SR,C18,15.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00050,DEV-ODS-SR-15-30-50x4.6,"Develosil ODS-SR, 15/30 µm, 4.6 x 50 mm",Develosil ODS-SR,C18,15.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00051,DEV-ODS-SR-15-30-100x2.0,"Develosil ODS-SR, 15/30 µm, 2.0 x 100 mm",Develosil ODS-SR,C18,15.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00052,DEV-ODS-SR-15-30-100x4.6,"Develosil ODS-SR, 15/30 µm, 4.6 x 100 mm",Develosil ODS-SR,C18,15.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00053,DEV-PAHS-3-50x2.0,"Develosil PAHS, 3 µm, 2.0 x 50 mm",Develosil PAHS,C18,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00054,DEV-PAHS-3-50x4.6,"Develosil PAHS, 3 µm, 4.6 x 50 mm",Develosil PAHS,C18,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00055,DEV-PAHS-3-100x2.0,"Develosil PAHS, 3 µm, 2.0 x 100 mm",Develosil PAHS,C18,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00056,DEV-PAHS-3-100x4.6,"Develosil PAHS, 3 µm, 4.6 x 100 mm",Develosil PAHS,C18,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00057,DEV-PAHS-5-50x2.0,"Develosil PAHS, 5 µm, 2.0 x 50 mm",Develosil PAHS,C18,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00058,DEV-PAHS-5-50x4.6,"Develosil PAHS, 5 µm, 4.6 x 50 mm",Develosil PAHS,C18,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00059,DEV-PAHS-5-100x2.0,"Develosil PAHS, 5 µm, 2.0 x 100 mm",Develosil PAHS,C18,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00060,DEV-PAHS-5-100x4.6,"Develosil PAHS, 5 µm, 4.6 x 100 mm",Develosil PAHS,C18,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00061,DEV-C8-UG-3-50x2.0,"Develosil C8-UG, 3 µm, 2.0 x 50 mm",Develosil C8-UG,C8,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00062,DEV-C8-UG-3-50x4.6,"Develosil C8-UG, 3 µm, 4.6 x 50 mm",Develosil C8-UG,C8,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00063,DEV-C8-UG-3-100x2.0,"Develosil C8-UG, 3 µm, 2.0 x 100 mm",Develosil C8-UG,C8,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00064,DEV-C8-UG-3-100x4.6,"Develosil C8-UG, 3 µm, 4.6 x 100 mm",Develosil C8-UG,C8,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00065,DEV-C8-UG-5-50x2.0,"Develosil C8-UG, 5 µm, 2.0 x 50 mm",Develosil C8-UG,C8,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00066,DEV-C8-UG-5-50x4.6,"Develosil C8-UG, 5 µm, 4.6 x 50 mm",Develosil C8-UG,C8,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00067,DEV-C8-UG-5-100x2.0,"Develosil C8-UG, 5 µm, 2.0 x 100 mm",Develosil C8-UG,C8,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00068,DEV-C8-UG-5-100x4.6,"Develosil C8-UG, 5 µm, 4.6 x 100 mm",Develosil C8-UG,C8,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00069,DEV-C4-UG-3-50x2.0,"Develosil C4-UG, 3 µm, 2.0 x 50 mm",Develosil C4-UG,C4,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00070,DEV-C4-UG-3-50x4.6,"Develosil C4-UG, 3 µm, 4.6 x 50 mm",Develosil C4-UG,C4,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00071,DEV-C4-UG-3-100x2.0,"Develosil C4-UG, 3 µm, 2.0 x 100 mm",Develosil C4-UG,C4,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00072,DEV-C4-UG-3-100x4.6,"Develosil C4-UG, 3 µm, 4.6 x 100 mm",Develosil C4-UG,C4,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00073,DEV-C4-UG-5-50x2.0,"Develosil C4-UG, 5 µm, 2.0 x 50 mm",Develosil C4-UG,C4,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00074,DEV-C4-UG-5-50x4.6,"Develosil C4-UG, 5 µm, 4.6 x 50 mm",Develosil C4-UG,C4,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00075,DEV-C4-UG-5-100x2.0,"Develosil C4-UG, 5 µm, 2.0 x 100 mm",Develosil C4-UG,C4,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00076,DEV-C4-UG-5-100x4.6,"Develosil C4-UG, 5 µm, 4.6 x 100 mm",Develosil C4-UG,C4,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00077,DEV-TMS-UG-3-50x2.0,"Develosil TMS-UG, 3 µm, 2.0 x 50 mm",Develosil TMS-UG,C1,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00078,DEV-TMS-UG-3-50x4.6,"Develosil TMS-UG, 3 µm, 4.6 x 50 mm",Develosil TMS-UG,C1,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00079,DEV-TMS-UG-3-100x2.0,"Develosil TMS-UG, 3 µm, 2.0 x 100 mm",Develosil TMS-UG,C1,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00080,DEV-TMS-UG-3-100x4.6,"Develosil TMS-UG, 3 µm, 4.6 x 100 mm",Develosil TMS-UG,C1,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00081,DEV-TMS-UG-5-50x2.0,"Develosil TMS-UG, 5 µm, 2.0 x 50 mm",Develosil TMS-UG,C1,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00082,DEV-TMS-UG-5-50x4.6,"Develosil TMS-UG, 5 µm, 4.6 x 50 mm",Develosil TMS-UG,C1,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00083,DEV-TMS-UG-5-100x2.0,"Develosil TMS-UG, 5 µm, 2.0 x 100 mm",Develosil TMS-UG,C1,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00084,DEV-TMS-UG-5-100x4.6,"Develosil TMS-UG, 5 µm, 4.6 x 100 mm",Develosil TMS-UG,C1,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00085,DEV-Ph-UG-3-50x2.0,"Develosil Ph-UG, 3 µm, 2.0 x 50 mm",Develosil Ph-UG,Phenyl,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00086,DEV-Ph-UG-3-50x4.6,"Develosil Ph-UG, 3 µm, 4.6 x 50 mm",Develosil Ph-UG,Phenyl,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00087,DEV-Ph-UG-3-100x2.0,"Develosil Ph-UG, 3 µm, 2.0 x 100 mm",Develosil Ph-UG,Phenyl,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00088,DEV-Ph-UG-3-100x4.6,"Develosil Ph-UG, 3 µm, 4.6 x 100 mm",Develosil Ph-UG,Phenyl,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00089,DEV-Ph-UG-5-50x2.0,"Develosil Ph-UG, 5 µm, 2.0 x 50 mm",Develosil Ph-UG,Phenyl,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00090,DEV-Ph-UG-5-50x4.6,"Develosil Ph-UG, 5 µm, 4.6 x 50 mm",Develosil Ph-UG,Phenyl,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00091,DEV-Ph-UG-5-100x2.0,"Develosil Ph-UG, 5 µm, 2.0 x 100 mm",Develosil Ph-UG,Phenyl,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00092,DEV-Ph-UG-5-100x4.6,"Develosil Ph-UG, 5 µm, 4.6 x 100 mm",Develosil Ph-UG,Phenyl,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00093,DEV-CN-UG-5-50x2.0,"Develosil CN-UG, 5 µm, 2.0 x 50 mm",Develosil CN-UG,Cyano,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00094,DEV-CN-UG-5-50x4.6,"Develosil CN-UG, 5 µm, 4.6 x 50 mm",Develosil CN-UG,Cyano,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00095,DEV-CN-UG-5-100x2.0,"Develosil CN-UG, 5 µm, 2.0 x 100 mm",Develosil CN-UG,Cyano,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00096,DEV-CN-UG-5-100x4.6,"Develosil CN-UG, 5 µm, 4.6 x 100 mm",Develosil CN-UG,Cyano,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00097,DEV-300Diol-5-50x2.0,"Develosil 300Diol, 5 µm, 2.0 x 50 mm",Develosil 300Diol,Diol,5.0,50,2.0,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00098,DEV-300Diol-5-50x4.6,"Develosil 300Diol, 5 µm, 4.6 x 50 mm",Develosil 300Diol,Diol,5.0,50,4.6,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00099,DEV-300Diol-5-100x2.0,"Develosil 300Diol, 5 µm, 2.0 x 100 mm",Develosil 300Diol,Diol,5.0,100,2.0,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00100,DEV-300Diol-5-100x4.6,"Develosil 300Diol, 5 µm, 4.6 x 100 mm",Develosil 300Diol,Diol,5.0,100,4.6,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00101,DEV-100Diol-5-50x2.0,"Develosil 100Diol, 5 µm, 2.0 x 50 mm",Develosil 100Diol,Diol,5.0,50,2.0,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00102,DEV-100Diol-5-50x4.6,"Develosil 100Diol, 5 µm, 4.6 x 50 mm",Develosil 100Diol,Diol,5.0,50,4.6,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00103,DEV-100Diol-5-100x2.0,"Develosil 100Diol, 5 µm, 2.0 x 100 mm",Develosil 100Diol,Diol,5.0,100,2.0,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00104,DEV-100Diol-5-100x4.6,"Develosil 100Diol, 5 µm, 4.6 x 100 mm",Develosil 100Diol,Diol,5.0,100,4.6,,SEC Column,,active,,,,,,,,,Gel Filtration,,,
Develosil,DEVL-00109,DEV-NH2-5-50x2.0,"Develosil NH2, 5 µm, 2.0 x 50 mm",Develosil NH2,Amino,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00110,DEV-NH2-5-50x4.6,"Develosil NH2, 5 µm, 4.6 x 50 mm",Develosil NH2,Amino,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00111,DEV-NH2-5-100x2.0,"Develosil NH2, 5 µm, 2.0 x 100 mm",Develosil NH2,Amino,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00112,DEV-NH2-5-100x4.6,"Develosil NH2, 5 µm, 4.6 x 100 mm",Develosil NH2,Amino,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00113,DEV-30-3-50x2.0,"Develosil 30, 3 µm, 2.0 x 50 mm",Develosil 30,Silica,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00114,DEV-30-3-50x4.6,"Develosil 30, 3 µm, 4.6 x 50 mm",Develosil 30,Silica,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00115,DEV-30-3-100x2.0,"Develosil 30, 3 µm, 2.0 x 100 mm",Develosil 30,Silica,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00116,DEV-30-3-100x4.6,"Develosil 30, 3 µm, 4.6 x 100 mm",Develosil 30,Silica,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00117,DEV-30-5-50x2.0,"Develosil 30, 5 µm, 2.0 x 50 mm",Develosil 30,Silica,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00118,DEV-30-5-50x4.6,"Develosil 30, 5 µm, 4.6 x 50 mm",Develosil 30,Silica,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00119,DEV-30-5-100x2.0,"Develosil 30, 5 µm, 2.0 x 100 mm",Develosil 30,Silica,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00120,DEV-30-5-100x4.6,"Develosil 30, 5 µm, 4.6 x 100 mm",Develosil 30,Silica,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00121,DEV-30-15-30-50x2.0,"Develosil 30, 15/30 µm, 2.0 x 50 mm",Develosil 30,Silica,15.0,50,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00122,DEV-30-15-30-50x4.6,"Develosil 30, 15/30 µm, 4.6 x 50 mm",Develosil 30,Silica,15.0,50,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00123,DEV-30-15-30-100x2.0,"Develosil 30, 15/30 µm, 2.0 x 100 mm",Develosil 30,Silica,15.0,100,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00124,DEV-30-15-30-100x4.6,"Develosil 30, 15/30 µm, 4.6 x 100 mm",Develosil 30,Silica,15.0,100,4.6,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
Develosil,DEVL-00125,DEV-60-3-50x2.0,"Develosil 60, 3 µm, 2.0 x 50 mm",Develosil 60,Silica,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Normal Phase,,,
