productId,partNumber,name,brand,productType,particleSize,poreSize,columnLength,innerDiameter,phaseType,phRange,status,Part Number,Product Name,Chemistry,Pore Size (Å),Particle Size (µm),Inner Diameter (mm),Length (mm),Pack Size,Product Type,Material,Description,pH Stability,Column ID (mm),URL,Brand,Length (Metric),Diameter (Metric),Column Type,Flow Rate,Specifications,Property1,Property2,Property3,Product URL,Price,Stationary Phase,Inner Diameter (ID),Length,Particle Size,Units,Pore Size,Phase,ID (mm),Pack Size (pk),Internal Diameter (ID),Bonded Phase,Product_Type,Product_Name,Part_Number,Internal_Diameter_mm,Length_mm,Particle_Size_um,Notes,Series,Particle Size (um),Full Specs,Name,品牌,产品类型,填料,吸附剂重量,规格,Units per Package,UNSPSC,应用,Endcapped,Ion Exchange Capacity,Mass Spec Compatibility,模式,Sorbent Substrate,Water Wettable,pH Range Min,pH Range Max,Sorbent Type,Sorbent Mass,Tube Volume,Format,Full Description,Sorbent Phase,Housing Type,Housing Volume (mL),Sorbent Mass (mg),Bed Weight (mg),Column Volume (mL),Quantity,Specification,Bed Weight,Volume,Package Size,Source URL,Column/Cartridge Dimension,Package Size (pk),Pore Size (Å),SPE 格式,填料质量 (mg),体积,粒径,吸附剂相,包装单位,productName,url,Filter Material,Diameter,Housing Material,Certified,Unit,List Price,CoreTechnique,CoreSeparationMode,CoreBrand,CorePhase,Phase Composition,Internal Diameter,Material (Membrane),Diameter (Metric) Membrane,Volume (Metric) Receiver,Unit Size
AGIL-670150-902,670150-902,"Agilent InfinityLab Poroshell 120 SB-C18 Column, 21.2 x 150 mm, 4 µm",Agilent,HPLC Column,4 µm,120 Å (Default for Poroshell 120),150 mm,21.2 mm,SB-C18,1.0-8.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-821725-955,821725-955,"InfinityLab Poroshell 120 Aq-C18 2.1 mm 2.7 µm, UHPLC Guard, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),5 mm,2.1 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695775-742,695775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,2.1 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693775-742,693775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,2.1 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-691775-742,691775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 30 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),30 mm,2.1 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699775-742,699775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,2.1 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-823750-953,823750-953,"InfinityLab Poroshell 120 Aq-C18 3.0 mm 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),5 mm,3.0 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695675-742,695675-742,"InfinityLab Poroshell 120 Aq-C18 3.0 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,3.0 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693675-742,693675-742,"InfinityLab Poroshell 120 Aq-C18 3.0 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,3.0 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699675-742,699675-742,"InfinityLab Poroshell 120 Aq-C18 3.0 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,3.0 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-820750-942,820750-942,"InfinityLab Poroshell 120 Aq-C18 4.6 mm 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),5 mm,4.6 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695975-742,695975-742,"InfinityLab Poroshell 120 Aq-C18 4.6 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,4.6 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693975-742,693975-742,"InfinityLab Poroshell 120 Aq-C18 4.6 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,4.6 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699975-742,699975-742,"InfinityLab Poroshell 120 Aq-C18 4.6 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,4.6 mm,Aq-C18,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-821725-925,821725-925,"InfinityLab Poroshell 120 Bonus-RP 2.1 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),5 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695768-901,695768-901,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695768-901K,695768-901K,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695768-901T,695768-901T,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693768-901,693768-901,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693768-901K,693768-901K,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693768-901T,693768-901T,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699768-901,699768-901,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699768-901K,699768-901K,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699768-901T,699768-901T,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm, narrow bore LC column, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,2.1 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699968-301T,699968-301T,"InfinityLab Poroshell 120 Bonus-RP 3, 50 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-823750-925,823750-925,"InfinityLab Poroshell 120 Bonus-RP 3.0 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),5 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695968-301,695968-301,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695968-301K,695968-301K,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695968-301T,695968-301T,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 100 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693968-301,693968-301,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693968-301K,693968-301K,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693968-301T,693968-301T,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 150 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699968-301,699968-301,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699968-301K,699968-301K,"InfinityLab Poroshell 120 Bonus-RP 3.0 x 50 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,3.0 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-820750-925,820750-925,"InfinityLab Poroshell 120 Bonus-RP 4.6 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),5 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695968-901,695968-901,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695968-901K,695968-901K,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-695968-901T,695968-901T,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 100 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),100 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693968-901,693968-901,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693968-901K,693968-901K,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-693968-901T,693968-901T,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 150 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),150 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699968-901,699968-901,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699968-901K,699968-901K,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIL-699968-901T,699968-901T,"InfinityLab Poroshell 120 Bonus-RP 4.6 x 50 mm, 2.7 µm, with column ID",Agilent,HPLC Column,2.7 µm,120 Å (Default for Poroshell 120),50 mm,4.6 mm,Bonus-RP,1.5-10.0,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
